2003-01-01,河名,站名,水位,流量,含沙量
2003-01-01,黄河                          ,唐乃亥                        ,170.59,83.2,-
2003-01-01,黄河                          ,龙羊峡入库,-,-,-
2003-01-01,黄河                          ,龙羊峡蓄水量,-,-,-
2003-01-01,黄河                          ,龙羊峡出库,-,-,-
2003-01-01,黄河                          ,刘家峡入库,-,-,-
2003-01-01,黄河                          ,刘家峡蓄水量,-,-,-
2003-01-01,黄河                          ,刘家峡出库,-,-,-
2003-01-01,黄河                          ,兰州                          ,10.44,331,-
2003-01-01,黄河                          ,下河沿                        ,28.92,383,-
2003-01-01,黄河                          ,石嘴山                        ,86.3,256,-
2003-01-01,黄河                          ,巴彦高勒                      ,52.02,201,-
2003-01-01,黄河                          ,三湖河口                      ,18.05,230,-
2003-01-01,黄河                          ,包头                          ,-,-,-
2003-01-01,黄河                          ,头道拐                        ,87.21,205,-
2003-01-01,黄河                          ,万家寨蓄水量,-,-,-
2003-01-01,黄河                          ,万家寨上出库,-,16,-
2003-01-01,黄河                          ,万家寨下                      ,94.49,16,-
2003-01-01,黄河                          ,府谷                          ,8.37,158,-
2003-01-01,黄河                          ,吴堡                          ,36.02,48.5,-
2003-01-01,黄河                          ,龙门                          ,81.61,75,-
2003-01-01,汾河                          ,河津                          ,70.73,5.20,-
2003-01-01,北洛河                        ,状头                          ,61.54,8.80,-
2003-01-01,泾河                          ,张家山                        ,420.12,1.90,-
2003-01-01,渭河                          ,咸阳                          ,81.47,9.40,-
2003-01-01,渭河                          ,华县                          ,34.98,27.4,-
2003-01-01,黄河                          ,潼关                          ,26.27,120,-
2003-01-01,黄河                          ,史家滩蓄水量,-,-,-
2003-01-01,黄河                          ,三门峡                        ,72.26,146,*7.25
2003-01-01,黄河                          ,小浪底上蓄水量,-,-,-
2003-01-01,黄河                          ,小浪底                        ,32.01,96,*89.3
2003-01-01,伊河                          ,东湾                          ,-,-,-
2003-01-01,伊河                          ,陆浑坝上蓄水量,-,-,-
2003-01-01,伊河                          ,陆浑坝上出库,-,-,-
2003-01-01,伊河                          ,龙门镇                        ,47.72,0.0900,-
2003-01-01,洛河                          ,卢氏                          ,-,-,-
2003-01-01,洛河                          ,故县水库蓄水量,-,-,-
2003-01-01,洛河                          ,故县水库出库,-,-,-
2003-01-01,洛河                          ,长水（二）                    ,378.12,1.36,-
2003-01-01,洛河                          ,白马寺                        ,115.25,15.3,-
2003-01-01,伊洛河                        ,黑石关                        ,5.74,24,-
2003-01-01,丹河                          ,山路坪                        ,-,-,-
2003-01-01,沁河                          ,五龙口                        ,-,-,-
2003-01-01,沁河                          ,武陟                          ,1.31,1.48,-
2003-01-01,黄河                          ,花园口                        ,89.89,200,*73.1
2003-01-01,黄河                          ,夹河滩                        ,74.05,181,*9.65
2003-01-01,黄河                          ,高村                          ,60.2,198,-
2003-01-01,黄河                          ,孙口                          ,44.5,170,-
2003-01-01,大汶河                        ,戴村坝,-,-,-
2003-01-01,东平湖                        ,东平湖老湖蓄水量,-,-,-
2003-01-01,大汶河                        ,出湖闸,-,-,-
2003-01-01,黄河                          ,艾山                          ,36.98,50,-
2003-01-01,黄河                          ,泺口                          ,25.57,56,-
2003-01-01,黄河                          ,利津                          ,9.12,28.5,-
2003-01-02,黄河                          ,唐乃亥                        ,170.61,87.6,-
2003-01-02,黄河                          ,龙羊峡入库,-,-,-
2003-01-02,黄河                          ,龙羊峡蓄水量,-,-,-
2003-01-02,黄河                          ,龙羊峡出库,-,-,-
2003-01-02,黄河                          ,刘家峡入库,-,-,-
2003-01-02,黄河                          ,刘家峡蓄水量,-,-,-
2003-01-02,黄河                          ,刘家峡出库,-,-,-
2003-01-02,黄河                          ,兰州                          ,10.45,335,-
2003-01-02,黄河                          ,下河沿                        ,28.88,371,-
2003-01-02,黄河                          ,石嘴山                        ,85.9,350,-
2003-01-02,黄河                          ,巴彦高勒                      ,52.08,215,-
2003-01-02,黄河                          ,三湖河口                      ,17.93,200,-
2003-01-02,黄河                          ,包头                          ,-,-,-
2003-01-02,黄河                          ,头道拐                        ,87.26,195,-
2003-01-02,黄河                          ,万家寨蓄水量,-,-,-
2003-01-02,黄河                          ,万家寨上出库,-,20.5,-
2003-01-02,黄河                          ,万家寨下                      ,94.54,20.5,-
2003-01-02,黄河                          ,府谷                          ,8.66,241,-
2003-01-02,黄河                          ,吴堡                          ,36.42,147,-
2003-01-02,黄河                          ,龙门                          ,81.57,75,-
2003-01-02,汾河                          ,河津                          ,70.8,6.40,-
2003-01-02,北洛河                        ,状头                          ,61.53,8.28,-
2003-01-02,泾河                          ,张家山                        ,420.1,1.62,-
2003-01-02,渭河                          ,咸阳                          ,81.5,10.8,-
2003-01-02,渭河                          ,华县                          ,35.17,35,-
2003-01-02,黄河                          ,潼关                          ,26.66,98,-
2003-01-02,黄河                          ,史家滩蓄水量,-,-,-
2003-01-02,黄河                          ,三门峡                        ,72.19,135,*7.25
2003-01-02,黄河                          ,小浪底上蓄水量,-,-,-
2003-01-02,黄河                          ,小浪底                        ,32.15,135,*89.3
2003-01-02,伊河                          ,东湾                          ,-,-,-
2003-01-02,伊河                          ,陆浑坝上蓄水量,-,-,-
2003-01-02,伊河                          ,陆浑坝上出库,-,-,-
2003-01-02,伊河                          ,龙门镇                        ,47.72,0.0900,-
2003-01-02,洛河                          ,卢氏                          ,-,-,-
2003-01-02,洛河                          ,故县水库蓄水量,-,-,-
2003-01-02,洛河                          ,故县水库出库,-,-,-
2003-01-02,洛河                          ,长水（二）                    ,378.12,1.36,-
2003-01-02,洛河                          ,白马寺                        ,115.18,11.8,-
2003-01-02,伊洛河                        ,黑石关                        ,5.68,21,-
2003-01-02,丹河                          ,山路坪                        ,-,-,-
2003-01-02,沁河                          ,五龙口                        ,-,-,-
2003-01-02,沁河                          ,武陟                          ,1.27,1.03,-
2003-01-02,黄河                          ,花园口                        ,89.92,195,*73.1
2003-01-02,黄河                          ,夹河滩                        ,74,168,*9.65
2003-01-02,黄河                          ,高村                          ,60.2,202,-
2003-01-02,黄河                          ,孙口                          ,44.53,182,-
2003-01-02,大汶河                        ,戴村坝,-,-,-
