日期,站点编号,河名,站名,水位,水势,流量,比昨日涨落,设防水位,警戒水位,警戒水位,MAXZ
2023-01-24,60105400,长江,寸滩,159.89,5,4010,-0.06,--,--,--,--
2023-01-24,60803000,长江,武隆,168.52,6,262,-0.09,--,--,--,--
2023-01-24,60107300,长江,宜昌,39.67,5,6610,-0.03,52.00,53.00,55.73,55.92
2023-01-24,60107400,长江,枝城,37.92,4,6360,-0.11,48.00,49.00,51.75,50.75
2023-01-24,60108300,长江,沙市,29.48,6,6930,-0.02,42.00,43.00,45.00,45.22
2023-01-24,60110500,长江,监利,23.73,4,6820,-0.07,34.50,35.70,37.23,38.31
2023-01-24,60111200,长江,莲花塘,19.23,5,,-0.02,--,32.50,34.40,35.80
2023-01-24,60111300,长江,螺山,17.95,6,8130,-0.05,31.00,32.00,34.01,34.95
2023-01-24,60112200,长江,汉口,12.63,4,8590,-0.06,25.00,27.30,29.73,29.73
2023-01-24,60112900,长江,黄石,9.77,6,,-0.03,22.80,24.50,27.50,26.39
2023-01-24,60113205,长江,码头镇,8.72,6,,0.04,20.50,21.50,24.50,24.04
2023-01-24,60113400,长江,九江,7.95,4,9100,0.06,--,20.00,23.25,23.03
2023-01-24,60106980,长江,三峡水库,157.22,4,4600(入)<br>6180(出),-0.30,--,--,--,--
2023-01-24,61512000,洞庭湖,城陵矶,19.24,6,1460,-0.02,--,33.00,34.55,35.94
2023-01-24,62601600,鄱阳湖,湖口,7.14,5,1480,0.09,--,19.50,22.50,22.59
2023-01-24,61102000,湘江,湘潭,30.15,6,432,0.01,--,38.00,39.50,41.95
2023-01-24,61202100,资水,桃江,31.75,6,112,-0.04,--,39.20,42.30,44.15
2023-01-24,61302800,沅水,桃源,29.58,4,366,0.01,--,42.50,45.40,47.37
2023-01-24,61400900,澧水,石门,50.24,6,24.7,0.12,--,58.50,61.00,62.66
2023-01-24,61500300,松滋河,新江口,35.76,6,136,0.00,43.00,44.00,45.77,46.18
2023-01-24,61501200,松滋河,沙道观,34.13,6,0.73,0.00,43.00,44.00,45.21,45.51
2023-01-24,61502200,藕池河,管家铺,28.54,6,,0.00,37.50,38.50,39.50,40.28
2023-01-24,61501800,藕池河,康家岗,31.70,4,,0.00,37.50,38.50,39.87,40.44
2023-01-24,61501500,虎渡河,弥陀寺,31.91,6,,-0.01,42.00,43.00,44.15,44.90
2023-01-24,61014500,长湖,长湖,30.14,4,,-0.05,31.50,32.50,33.50,33.57
2023-01-24,61018000,洪湖,挖沟咀,23.87,4,,-0.11,25.80,26.20,27.00,27.46
2023-01-24,62210800,刁汊湖,五房台,23.64,5,,0.03,--,24.80,26.00,28.03
2023-01-24,61714000,斧头湖,三洲,20.98,4,,0.00,21.50,22.80,23.94,24.59
2023-01-24,61602600,梁子湖,梁子镇,17.64,5,,-0.01,19.00,20.50,21.36,21.49
2023-01-24,61801300,汉江,安康,234.73,5,194,-0.45,--,--,--,259.26
2023-01-24,61801700,汉江,白河,178.97,5,220,-0.04,--,187.00,191.00,196.63
2023-01-24,61802800,汉江,黄家港,88.36,5,375,0.02,--,--,--,96.45
2023-01-24,61803400,汉江,襄阳,64.77,6,,0.00,65.50,67.00,70.00,71.71
2023-01-24,61803500,汉江,宜城,55.35,6,,0.01,56.50,57.50,59.30,61.45
2023-01-24,61804110,汉江,皇庄,39.16,6,628,0.12,47.00,48.00,50.62,52.30
2023-01-24,61804210,汉江,沙洋,35.62,5,,-0.01,40.80,41.80,44.50,44.50
2023-01-24,61804400,汉江,岳口,26.22,4,,-0.10,36.90,37.90,40.62,40.62
2023-01-24,61804600,汉江,仙桃,22.94,4,500,-0.06,34.10,35.10,36.20,36.24
2023-01-24,61804710,汉江,汉川,17.50,4,,0.01,28.00,29.00,31.69,32.09
2023-01-24,61802700,汉江,丹江口水库,156.84,4,530(入)<br>684(出),-0.04,--,--,--,--
2023-01-24,61002791,清江,水布垭,364.14,4,1.0(入)<br>51.1(出),-0.09,--,--,--,--
2023-01-24,61003101,清江,隔河岩,182.24,6,1.7(入)<br>11.7(出),-0.02,--,--,--,--
2023-01-24,60908000,沮漳河,河溶,39.11,4,7.39,-0.15,47.50,48.50,50.00,50.49
2023-01-24,62213000,东荆河,潜江,27.17,6,0.001,0.00,38.40,39.70,42.11,42.09
2023-01-24,62206900,汉北河,天门,23.85,5,32.6,0.04,28.30,29.30,30.00,31.35
2023-01-24,62209400,大富水,应城,25.97,5,7.87,0.11,27.50,29.00,33.00,33.01
2023-01-24,62205600,环水,花园,32.12,6,10.9,-0.01,--,37.50,39.95,39.95
2023-01-24,62205800,环水,孝感,23.48,4,,-0.08,26.50,27.50,31.00,32.28
2023-01-24,62201400,府河,隔蒲潭,22.05,4,8.68,0.05,29.50,30.50,33.50,33.57
2023-01-24,62201800,府澴河,卧龙潭,20.63,6,,0.04,26.50,27.00,29.69,31.19
2023-01-24,61607000,富水,阳新,13.28,4,,-0.04,20.00,21.50,22.50,23.69
2023-01-24,61609400,滠水,黄陂,21.88,4,,-0.02,25.00,26.00,29.31,29.31
2023-01-24,61610600,倒水,李家集,23.57,6,,0.02,26.30,28.00,30.73,30.76
2023-01-24,61612400,举水,柳子港,23.21,6,2.64,-0.05,28.00,29.00,33.11,33.58
2023-01-24,61615600,巴水,马家潭,19.49,6,9.6,-0.01,--,--,--,--
2023-01-24,61619600,蕲水,西河驿,19.63,6,24.8,0.01,--,--,--,--
2023-01-26,60105400,长江,寸滩,159.21,4,3260,-0.27,--,--,--,--
2023-01-26,60803000,长江,武隆,168.09,6,177,-0.02,--,--,--,--
2023-01-26,60107300,长江,宜昌,39.66,6,6580,-0.08,52.00,53.00,55.73,55.92
2023-01-26,60107400,长江,枝城,38.02,4,6770,-0.05,48.00,49.00,51.75,50.75
2023-01-26,60108300,长江,沙市,29.65,5,7180,0.06,42.00,43.00,45.00,45.22
2023-01-26,60110500,长江,监利,23.81,5,6980,0.06,34.50,35.70,37.23,38.31
2023-01-26,60111200,长江,莲花塘,19.25,6,,0.02,--,32.50,34.40,35.80
2023-01-26,60111300,长江,螺山,18.00,6,8180,0.02,31.00,32.00,34.01,34.95
2023-01-26,60112200,长江,汉口,12.64,6,8600,0.00,25.00,27.30,29.73,29.73
2023-01-26,60112900,长江,黄石,9.76,6,,-0.02,22.80,24.50,27.50,26.39
2023-01-26,60113205,长江,码头镇,8.67,6,,-0.02,20.50,21.50,24.50,24.04
2023-01-26,60113400,长江,九江,7.89,4,8960,-0.03,--,20.00,23.25,23.03
2023-01-26,60106980,长江,三峡水库,156.55,6,3900(入)<br>6190(出),-0.33,--,--,--,--
2023-01-26,61512000,洞庭湖,城陵矶,19.25,6,1470,0.01,--,33.00,34.55,35.94
2023-01-26,62601600,鄱阳湖,湖口,7.05,4,1500,-0.06,--,19.50,22.50,22.59
2023-01-26,61102000,湘江,湘潭,30.06,4,400,-0.08,--,38.00,39.50,41.95
2023-01-26,61202100,资水,桃江,31.60,6,87.0,0.02,--,39.20,42.30,44.15
2023-01-26,61302800,沅水,桃源,29.65,6,401,-0.06,--,42.50,45.40,47.37
2023-01-26,61400900,澧水,石门,50.21,6,34.4,0.10,--,58.50,61.00,62.66
2023-01-26,61500300,松滋河,新江口,35.82,4,151,-0.04,43.00,44.00,45.77,46.18
2023-01-26,61501200,松滋河,沙道观,34.17,6,1.31,0.05,43.00,44.00,45.21,45.51
2023-01-26,61502200,藕池河,管家铺,28.54,5,,0.00,37.50,38.50,39.50,40.28
2023-01-26,61501800,藕池河,康家岗,31.70,6,,0.00,37.50,38.50,39.87,40.44
2023-01-26,61501500,虎渡河,弥陀寺,31.88,6,,-0.01,42.00,43.00,44.15,44.90
2023-01-26,61014500,长湖,长湖,30.12,6,,-0.01,31.50,32.50,33.50,33.57
2023-01-26,61018000,洪湖,挖沟咀,23.97,4,,0.01,25.80,26.20,27.00,27.46
2023-01-26,62210800,刁汊湖,五房台,23.60,6,,-0.01,--,24.80,26.00,28.03
2023-01-26,61714000,斧头湖,三洲,20.99,4,,-0.03,21.50,22.80,23.94,24.59
2023-01-26,61602600,梁子湖,梁子镇,17.64,6,,0.01,19.00,20.50,21.36,21.49
2023-01-26,61801300,汉江,安康,235.11,5,314,0.17,--,--,--,259.26
2023-01-26,61801700,汉江,白河,179.02,5,131,0.01,--,187.00,191.00,196.63
2023-01-26,61802800,汉江,黄家港,88.35,5,366,-0.02,--,--,--,96.45
2023-01-26,61803400,汉江,襄阳,64.77,6,,0.00,65.50,67.00,70.00,71.71
2023-01-26,61803500,汉江,宜城,55.58,5,,0.26,56.50,57.50,59.30,61.45
2023-01-26,61804110,汉江,皇庄,39.15,6,624,0.00,47.00,48.00,50.62,52.30
2023-01-26,61804210,汉江,沙洋,35.67,6,,0.02,40.80,41.80,44.50,44.50
2023-01-26,61804400,汉江,岳口,26.20,4,,0.00,36.90,37.90,40.62,40.62
2023-01-26,61804600,汉江,仙桃,22.85,5,481,-0.01,34.10,35.10,36.20,36.24
2023-01-26,61804710,汉江,汉川,17.36,6,,-0.07,28.00,29.00,31.69,32.09
2023-01-26,61802700,汉江,丹江口水库,156.73,4,665(入)<br>894(出),-0.07,--,--,--,--
2023-01-26,61002791,清江,水布垭,363.69,5,11.9(入)<br>10.6(出),-0.21,--,--,--,--
2023-01-26,61003101,清江,隔河岩,181.92,5,9.26(入)<br>11.7(出),-0.16,--,--,--,--
2023-01-26,60908000,沮漳河,河溶,39.13,6,7.8,0.00,47.50,48.50,50.00,50.49
2023-01-26,62213000,东荆河,潜江,27.17,6,0.001,0.00,38.40,39.70,42.11,42.09
2023-01-26,62206900,汉北河,天门,23.78,5,30.5,-0.02,28.30,29.30,30.00,31.35
2023-01-26,62209400,大富水,应城,26.15,6,7.87,0.09,27.50,29.00,33.00,33.01
2023-01-26,62205600,环水,花园,32.12,6,10.9,0.00,--,37.50,39.95,39.95
2023-01-26,62205800,环水,孝感,23.68,6,,-0.03,26.50,27.50,31.00,32.28
2023-01-26,62201400,府河,隔蒲潭,22.12,6,11.7,0.01,29.50,30.50,33.50,33.57
2023-01-26,62201800,府澴河,卧龙潭,20.66,6,,0.02,26.50,27.00,29.69,31.19
2023-01-26,61607000,富水,阳新,13.62,5,,0.23,20.00,21.50,22.50,23.69
2023-01-26,61609400,滠水,黄陂,21.82,4,,-0.03,25.00,26.00,29.31,29.31
2023-01-26,61610600,倒水,李家集,23.57,6,,0.00,26.30,28.00,30.73,30.76
