时间,站名,具体时间,水位,流量,涨落
2023-04-26,向家坝,26日22时,266.30,1950,落
2023-04-26,寸滩,26日22时,161.91,7170,落
2023-04-26,万县,26日22时,156.92,-,平
2023-04-26,宜昌,26日22时,39.90,7160,涨
2023-04-26,沙市,26日22时,29.58,6810,平
2023-04-26,螺山,26日22时,21.33,13900,平
2023-04-26,汉口,26日22时,16.62,15500,涨
2023-04-26,九江,26日22时,11.98,16200,落
2023-04-26,大通,26日22时,7.46,24200,落
2023-04-26,城陵矶㈦,26日22时,22.45,7590,平
2023-04-26,皇庄,26日22时,39.19,631,平
2023-04-26,湖口,26日22时,11.51,7110,落
2023-04-27,向家坝,27日22时,266.38,2000,落
2023-04-27,寸滩,27日22时,161.69,6870,涨
2023-04-27,万县,27日22时,157.10,-,落
2023-04-27,宜昌,27日22时,39.94,7260,涨
2023-04-27,沙市,27日22时,29.59,6800,平
2023-04-27,螺山,27日22时,21.38,14000,平
2023-04-27,汉口,27日22时,16.60,15400,落
2023-04-27,九江,27日22时,11.94,16100,落
2023-04-27,大通,27日22时,7.41,24300,落
2023-04-27,城陵矶㈦,27日22时,22.50,7700,平
2023-04-27,皇庄,27日22时,39.17,624,落
2023-04-27,湖口,27日22时,11.46,7940,平
2023-04-28,向家坝,28日22时,266.43,2030,落
2023-04-28,寸滩,28日22时,161.05,5970,落
2023-04-28,万县,28日22时,156.32,-,落
2023-04-28,宜昌,28日22时,39.88,7110,涨
2023-04-28,沙市,28日22时,29.60,6770,平
2023-04-28,螺山,28日22时,21.34,14000,涨
2023-04-28,汉口,28日22时,16.54,15300,平
2023-04-28,九江,28日22时,11.88,15900,落
2023-04-28,大通,28日22时,7.30,24000,落
2023-04-28,城陵矶㈦,28日22时,22.47,7570,平
2023-04-28,皇庄,28日22时,39.18,628,平
2023-04-28,湖口,28日22时,11.41,7820,涨
2023-04-29,向家坝,29日22时,266.50,2080,落
2023-04-29,寸滩,29日22时,160.80,5650,涨
2023-04-29,万县,29日22时,157.21,-,平
2023-04-29,宜昌,29日22时,39.78,6870,落
2023-04-29,沙市,29日22时,29.63,6860,平
2023-04-29,螺山,29日20时,21.31,13900,平
2023-04-29,汉口,29日22时,16.50,15200,平
2023-04-29,九江,29日22时,11.78,15800,落
2023-04-29,大通,29日22时,7.18,23800,涨
2023-04-29,城陵矶㈦,29日20时,22.45,7340,平
2023-04-29,皇庄,29日22时,39.46,730,涨
2023-04-29,湖口,29日22时,11.30,7710,平
2023-04-30,向家坝,30日15时,266.65,2200,涨
2023-04-30,寸滩,30日15时,161.26,6260,落
2023-04-30,万县,30日15时,157.22,-,平
2023-04-30,宜昌,30日15时,39.68,6630,落
2023-04-30,沙市,30日15时,29.62,6830,平
2023-04-30,螺山,30日15时,21.45,14400,涨
2023-04-30,汉口,30日15时,16.49,15200,平
2023-04-30,九江,30日15时,11.71,15900,落
2023-04-30,大通,30日15时,7.11,23400,落
2023-04-30,城陵矶㈦,30日15时,22.61,7690,涨
2023-04-30,皇庄,30日15时,39.47,734,平
2023-04-30,湖口,30日15时,11.21,7600,落
2023-04-30,向家坝,30日15时,266.65,2200,涨
2023-04-30,寸滩,30日15时,161.26,6260,落
2023-04-30,万县,30日15时,157.22,-,平
2023-04-30,宜昌,30日15时,39.68,6630,落
2023-04-30,沙市,30日15时,29.62,6830,平
2023-04-30,螺山,30日15时,21.45,14400,涨
2023-04-30,汉口,30日15时,16.49,15200,平
2023-04-30,九江,30日15时,11.71,15900,落
2023-04-30,大通,30日15时,7.11,23400,落
2023-04-30,城陵矶㈦,30日15时,22.61,7690,涨
2023-04-30,皇庄,30日15时,39.47,734,平
2023-04-30,湖口,30日15时,11.21,7600,落
2023-04-30,向家坝,30日22时,266.47,2060,落
2023-04-30,寸滩,30日22时,161.04,5960,落
2023-04-30,万县,30日22时,157.26,-,平
2023-04-30,宜昌,30日22时,39.92,7210,涨
2023-04-30,沙市,30日22时,29.60,6790,平
2023-04-30,螺山,30日22时,21.49,14500,涨
2023-04-30,汉口,30日22时,16.50,15200,涨
2023-04-30,九江,30日22时,11.69,15900,落
2023-04-30,大通,30日22时,7.10,23200,涨
2023-04-30,城陵矶㈦,30日22时,22.66,8190,涨
2023-04-30,皇庄,30日22时,39.46,730,涨
2023-04-30,湖口,30日22时,11.17,7590,落
2023-05-01,向家坝,01日22时,266.30,1950,落
2023-05-01,寸滩,01日22时,160.85,5720,涨
2023-05-01,万县,01日22时,157.22,-,落
2023-05-01,宜昌,01日22时,40.08,7580,平
2023-05-01,沙市,01日22时,29.65,6880,落
2023-05-01,螺山,01日22时,21.62,14800,平
2023-05-01,汉口,01日22时,16.57,15300,落
2023-05-01,九江,01日22时,11.63,15600,平
2023-05-01,大通,01日22时,7.03,23100,涨
2023-05-01,城陵矶㈦,01日22时,22.79,8310,平
2023-05-01,皇庄,01日22时,39.30,670,落
2023-05-01,湖口,01日22时,11.10,7520,平
2023-05-02,向家坝,02日22时,266.27,1940,涨
2023-05-02,寸滩,02日22时,161.23,6220,平
2023-05-02,万县,02日22时,157.21,-,落
2023-05-02,宜昌,02日22时,40.11,7640,涨
2023-05-02,沙市,02日22时,29.72,6960,落
2023-05-02,螺山,02日22时,21.62,14600,落
2023-05-02,汉口,02日22时,16.65,15500,平
2023-05-02,九江,02日22时,11.61,15700,落
2023-05-02,大通,02日22时,7.06,22900,涨
2023-05-02,城陵矶㈦,02日22时,22.75,8250,平
2023-05-02,皇庄,02日22时,39.19,631,涨
2023-05-02,湖口,02日22时,11.05,7260,平
