日期,市（洲）,站点编号,站名,站类,水位,流量,昨日涨落
2023-04-26,武汉,61600400,南湖,ZZ,19.13,,0.00
2023-04-26,武汉,61600550,青龙咀（三）,ZZ,18.47,,18.47
2023-04-26,武汉,61600560,黄家湖,ZZ,18.37,,-0.02
2023-04-26,武汉,61600570,青菱湖,ZZ,18.10,,0.01
2023-04-26,武汉,61600600,沙湖,ZZ,19.95,,0.01
2023-04-26,武汉,61601200,东湖,ZZ,19.86,,0.01
2023-04-26,武汉,61601203,罗家港,ZZ,18.17,,0.04
2023-04-26,武汉,61601204,北洋桥,ZZ,18.82,,0.02
2023-04-26,武汉,61601400,北湖,ZZ,18.66,,-0.43
2023-04-26,武汉,61601510,严西湖,ZZ,19.01,,0.02
2023-04-26,武汉,61601550,严东湖,ZZ,18.34,,-0.05
2023-04-26,武汉,61602551,梁子湖闸内,ZZ,15.95,,-0.06
2023-04-26,武汉,61609400,黄陂（二）,ZZ,22.21,,0.16
2023-04-26,武汉,61609451,武湖桥头,ZZ,15.97,,0.34
2023-04-26,武汉,61609452,武湖北湖闸,ZZ,17.57,,-0.02
2023-04-26,武汉,61609900,合丰,ZZ,20.23,,0.01
2023-04-26,武汉,61610500,冯家集,ZZ,22.26,,0.00
2023-04-26,武汉,61610600,李家集,ZZ,24.54,,-0.01
2023-04-26,武汉,61611210,挖沟(二),ZZ,17.55,,0.01
2023-04-26,武汉,61614500,四合庄,ZZ,20.39,,-0.16
2023-04-26,武汉,61717500,南阳（二）,ZZ,,,--
2023-04-26,武汉,62206700,金银湖,ZZ,18.62,,-0.02
2023-04-26,武汉,62206710,黄孝河明渠,ZZ,,,--
2023-04-26,武汉,62206720,后湖,ZZ,17.30,,0.03
2023-04-26,武汉,62206721,后湖泵站,ZZ,15.88,,0.77
2023-04-26,武汉,62212840,索河,ZZ,20.75,,-0.13
2023-04-26,武汉,62213650,周家山,ZZ,1.93,,-16.51
2023-04-26,武汉,62213670,挖口,DD,,,--
2023-04-26,武汉,62213900,周湾,ZZ,28.44,,28.44
2023-04-26,武汉,62214000,后官湖,ZZ,18.89,,-0.07
2023-04-26,武汉,62214100,龙阳湖,ZZ,19.76,,-0.04
2023-04-26,武汉,62214300,三角湖,ZZ,18.94,,-0.04
2023-04-26,武汉,62214400,北太子湖,ZZ,19.55,,-0.03
2023-04-26,武汉,61804749,新沟,ZZ,17.79,,-0.01
2023-04-26,武汉,61609100,长轩岭(二),ZQ,27.39,7.74,0.02
2023-04-26,武汉,61612400,柳子港,ZQ,23.58,21.5,-0.02
2023-04-26,武汉,61804800,舵落口,ZQ,16.89,,0.03
2023-04-26,宜昌,60514200,陕西营,ZQ,169.69,0.151,0.00
2023-04-26,宜昌,60514300,兴山,ZQ,155.86,15.3,-0.03
2023-04-26,宜昌,60519980,茅坪,ZQ,95.76,1.46,-0.01
2023-04-26,宜昌,60902000,小溪塔,ZQ,66.15,2.30,0.00
2023-04-26,宜昌,60903010,雾渡河,ZQ,404.83,2.27,-0.26
2023-04-26,宜昌,60906000,远安,ZQ,103.43,3.11,0.10
2023-04-26,宜昌,60908000,河溶,ZQ,39.11,7.58,-0.09
2023-04-26,宜昌,61002800,水布垭,ZQ,192.26,260,2.34
2023-04-26,宜昌,61003000,渔峡口,ZQ,185.89,,0.26
2023-04-26,宜昌,61004750,高坝州,ZQ,38.22,7.99,-1.63
2023-04-26,宜昌,61008500,招徕河,ZQ,195.65,0.278,0.05
2023-04-26,宜昌,61010000,高家堰,ZQ,13.01,7.76,-0.16
2023-04-26,宜昌,61010500,渔洋关,ZQ,14.60,6.92,-0.10
2023-04-26,宜昌,61011010,聂家河,ZQ,79.73,0.127,-0.04
2023-04-26,宜昌,60514371,杨林桥,ZQ,21.42,5.25,0.00
2023-04-26,宜昌,60927000,张家口,ZZ,204.58,,0.00
2023-04-26,宜昌,60514220,两河口,ZZ,374.07,,-0.09
2023-04-26,宜昌,60514240,龚家桥(高桥),ZZ,754.05,,-0.03
2023-04-26,宜昌,60514368,水月寺(道路坪),ZZ,640.09,,-0.02
2023-04-26,宜昌,60514372,杨林桥(渠道),ZZ,,,--
2023-04-26,宜昌,60515000,小溪口（白水溪）,ZZ,171.91,,0.00
2023-04-26,宜昌,60519200,新生（髙家溪）,ZZ,77.45,,-0.02
2023-04-26,宜昌,60902060,普溪河,ZZ,167.46,,0.00
2023-04-26,宜昌,60903200,南村坪（鄢家河）,ZZ,70.52,,-0.03
2023-04-26,宜昌,60903400,车溪,ZZ,199.65,,-0.04
2023-04-26,宜昌,60903460,紫阳,ZZ,51.82,,-0.03
2023-04-26,宜昌,60903600,水府庙(土门),ZZ,73.00,,0.00
2023-04-26,宜昌,60903650,新场,ZZ,77.04,,-0.02
2023-04-26,宜昌,60903680,九道河,ZZ,84.33,,-0.01
2023-04-26,宜昌,60903810,马家店,ZZ,39.08,,-0.03
2023-04-26,宜昌,60906010,远安(坝下),ZQ,97.21,3.11,-0.33
2023-04-26,宜昌,60908050,窑湾,ZQ,,,--
2023-04-26,宜昌,60908700,旧县（鹿苑河）,ZZ,117.41,,-0.03
2023-04-26,宜昌,60908710,凤山（鸣凤河）,ZZ,109.28,,0.00
2023-04-26,宜昌,60908720,花林寺（石头店）,ZZ,121.33,,0.07
2023-04-26,宜昌,61010100,津洋口,ZZ,79.72,,-0.16
2023-04-26,襄阳,60903900,庙坪,ZZ,1.69,,-0.06
2023-04-26,襄阳,60908600,鸡冠河,ZZ,309.79,,0.00
2023-04-26,襄阳,61803420,鱼梁洲,ZZ,62.77,,0.03
2023-04-26,襄阳,61908200,江山,ZZ,98.46,,-0.02
2023-04-26,襄阳,61909700,谢湾,ZZ,115.72,,-0.01
2023-04-26,襄阳,61914400,罗坪,ZZ,125.55,,0.00
2023-04-26,襄阳,61914980,南渠,ZZ,66.53,,0.55
2023-04-26,襄阳,61915540,竹林桥,ZZ,109.68,,0.00
2023-04-26,襄阳,61918300,朱市,ZZ,54.90,1.60,-0.05
2023-04-26,襄阳,61918700,李庙,ZZ,239.74,,0.00
2023-04-26,襄阳,61919220,董集,ZZ,78.14,,-0.11
2023-04-26,襄阳,62010500,董坡,ZQ,64.20,105,0.03
2023-04-26,襄阳,62018540,吕镇,ZZ,80.31,,-0.04
2023-04-26,襄阳,62018590,吴店,ZZ,91.55,,0.00
2023-04-26,襄阳,62019300,五口,ZZ,98.66,,0.03
2023-04-26,襄阳,60904000,马良坪,ZQ,2.62,23.0,-0.09
2023-04-26,襄阳,60909000,打鼓台,ZQ,48.99,0.00,-0.14
2023-04-26,襄阳,60914000,苍坪,ZQ,129.55,1.13,-0.21
2023-04-26,襄阳,61803550,宜城,ZQ,55.88,3300,0.07
2023-04-26,襄阳,61910100,开峰峪,ZQ,195.64,47.6,0.89
2023-04-26,襄阳,61915050,清河店,ZQ,67.30,53.9,0.01
2023-04-26,襄阳,61917500,挽鱼沟,ZQ,173.50,26.1,-0.03
2023-04-26,襄阳,62016500,埠口,ZQ,67.39,55.3,0.09
2023-04-26,十堰,61901200,土门水库,ZZ,281.33,,-0.01
2023-04-26,十堰,61901650,青曲,ZZ,229.94,,0.01
2023-04-26,十堰,61902860,白沙河,ZZ,441.23,,-0.10
2023-04-26,十堰,61903020,九道,ZZ,524.94,,0.00
2023-04-26,十堰,61903030,洪坪,ZZ,517.92,,0.05
2023-04-26,十堰,61906000,叶滩,ZZ,349.37,,0.00
2023-04-26,十堰,61906850,马家河,ZZ,280.00,,0.00
2023-04-26,十堰,61912800,军店,ZZ,451.50,,0.03
2023-04-26,十堰,61924410,泥沟,ZZ,211.34,,0.00
2023-04-26,十堰,61813105,关防,ZQ,432.31,8.59,-0.04
2023-04-26,十堰,61900010,鲍峡,ZQ,272.51,8.67,-0.03
2023-04-26,十堰,61901000,贾家坊,ZQ,215.68,3.00,-0.16
2023-04-26,十堰,61902200,老码头(官渡),ZZ,345.45,,-1.55
2023-04-26,十堰,61902400,竹山,ZQ,250.11,214,0.05
2023-04-26,十堰,61902800,延坝,ZQ,373.57,4.76,-0.04
2023-04-26,十堰,61902850,泉河,ZQ,351.62,50.1,-0.07
2023-04-26,十堰,61904600,县河,ZQ,384.44,7.08,0.00
2023-04-26,十堰,61905850,楼台,ZQ,292.89,0.700,-0.04
2023-04-26,十堰,61906200,东风,ZQ,198.66,1.83,0.00
2023-04-26,十堰,61907500,孤山,ZQ,24.80,1.16,-0.03
2023-04-26,十堰,61937233,巨家河,PP,,,--
2023-04-26,十堰,61944400,房县,ZQ,401.66,5.26,0.03
2023-04-26,十堰,62007110,滔河,ZQ,313.02,3.30,-0.08
2023-04-26,十堰,62031400,南化塘,ZZ,324.75,,0.00
2023-04-26,神农架,61909650,野马河,ZZ,,,--
2023-04-26,神农架,61912600,松柏,ZQ,,,--
2023-04-26,随州,50201281,游河,ZQ,124.75,8.20,-0.04
2023-04-26,随州,62200500,安居,ZQ,65.03,12.1,0.00
2023-04-26,随州,62202500,唐县镇,ZZ,112.81,,-0.01
2023-04-26,随州,62205000,龙泉镇,ZZ,68.92,,-0.04
2023-04-26,随州,62234800,武胜关,ZZ,97.41,,-0.05
2023-04-26,随州,62017700,新城,ZQ,157.40,0.197,0.00
2023-04-26,随州,62200400,环潭,ZQ,81.05,15.3,0.20
2023-04-26,随州,62200600,随州,ZQ,57.61,7.92,-0.06
2023-04-26,随州,62202700,均川,ZQ,73.47,7.28,-0.05
2023-04-26,随州,62203900,万店,ZQ,68.92,7.90,0.07
2023-04-26,随州,62206300,应山(二),ZQ,,,--
2023-04-26,随州,62204500,何店,ZQ,58.19,3.09,-0.10
2023-04-26,随州,62206350,陈巷,ZQ,52.44,1.52,-0.04
2023-04-26,随州,62235000,广水,ZQ,64.45,2.48,-0.09
2023-04-26,潜江,61015350,竺场,,24.79,,0.00
2023-04-26,潜江,61015650,沱口,,26.74,,0.22
2023-04-26,潜江,62213050,杨市,,26.66,,0.19
2023-04-26,潜江,61015400,关山,ZQ,24.98,4.69,-0.48
2023-04-26,潜江,61015200,魏桥,ZQ,25.47,8.57,-0.64
2023-04-26,潜江,61016600,积玉口,ZQ,28.08,12.4,-0.21
2023-04-26,潜江,62213020,总口,ZQ,25.84,7.28,0.06
2023-04-26,黄石,61603000,黄檀咀,ZZ,17.42,,-0.02
2023-04-26,黄石,61603900,李家铺,ZZ,15.95,,-0.16
2023-04-26,黄石,61604000,大冶（二）,ZZ,16.44,,-0.07
2023-04-26,黄石,61604200,磊山,ZZ,16.43,,-0.07
2023-04-26,黄石,61608010,李家畈,ZZ,24.95,,0.00
2023-04-26,黄石,61608100,上庄,ZZ,16.19,,-0.03
2023-04-26,黄石,61608210,上铺,ZZ,33.03,,-0.04
2023-04-26,黄石,61608220,冠塘,ZQ,20.45,0.270,-0.03
2023-04-26,黄石,61608310,羊畈,ZQ,17.55,1.63,-0.03
2023-04-26,黄石,61604100,大港,ZQ,14.69,2.48,-0.14
2023-04-26,黄石,61604300,罗桥,ZQ,16.44,0.480,-0.01
2023-04-26,黄石,61604400,小箕铺,ZQ,31.56,2.63,-0.02
2023-04-26,黄石,61607000,阳新,ZQ,13.27,,-0.11
2023-04-26,黄石,61608000,龙港（二）,ZQ,22.40,12.1,-0.07
2023-04-26,黄石,61608200,三溪,ZQ,15.63,3.15,0.00
2023-04-26,黄石,61608305,下桥,ZZ,19.32,,-0.05
2023-04-26,黄石,61608330,栗子湾,ZQ,19.34,0.0600,-0.02
2023-04-26,黄石,61603800,磁湖,ZQ,18.61,,-0.10
2023-04-26,黄石,61608221,冠塘（汪畈）,,,,--
2023-04-26,黄冈,61611100,下店河,ZZ,40.32,,0.00
2023-04-26,黄冈,61616200,泗泊河,ZZ,40.84,,0.00
2023-04-26,黄冈,61616300,王家店,ZZ,27.41,,-0.11
2023-04-26,黄冈,61616400,官桥(老港),ZZ,15.58,,-0.19
2023-04-26,黄冈,61618000,浠水,ZZ,,,--
2023-04-26,黄冈,61618800,如意河,ZZ,101.58,,0.00
2023-04-26,黄冈,61619900,雷溪河,ZZ,22.17,,-0.06
2023-04-26,黄冈,61634000,华家河,ZZ,60.32,,-0.01
2023-04-26,黄冈,61647400,胜利,ZZ,107.29,,-0.03
2023-04-26,黄冈,61652001,长孙堤(外江),ZZ,,,--
2023-04-26,黄冈,61657700,洗马畈,ZZ,44.56,,0.01
2023-04-26,黄冈,62800710,白湖渡闸上,DD,,,--
2023-04-26,黄冈,62801100,严家闸,ZZ,10.07,,0.00
2023-04-26,黄冈,62801200,下新,ZZ,8.01,,0.00
2023-04-26,黄冈,62820350,童司牌,ZZ,15.20,,-0.10
2023-04-26,黄冈,62800200,官桥(武山湖),ZQ,15.67,79.4,-0.20
2023-04-26,黄冈,61610400,红安,ZQ,41.68,7.28,-0.42
2023-04-26,黄冈,61612200,麻城,ZQ,53.77,1.31,0.20
2023-04-26,黄冈,61615600,马家潭,ZQ,19.96,53.8,-0.17
2023-04-26,黄冈,61616000,罗田,ZQ,70.90,6.70,-0.13
2023-04-26,黄冈,61617400,英山,ZQ,101.57,21.3,-0.18
2023-04-26,黄冈,61618410,落令河,ZQ,107.01,5.20,-0.05
2023-04-26,黄冈,61619600,西河驿,ZQ,19.92,61.5,-0.16
2023-04-26,荆门,62100500,荆门（花竹）,ZZ,58.07,,0.00
2023-04-26,荆门,61013390,古林,ZZ,36.54,,-0.03
2023-04-26,荆门,61013395,新桥,ZZ,37.19,,-0.02
2023-04-26,荆门,62103000,胜利闸(长湖),ZZ,30.20,,0.03
2023-04-26,荆门,61804180,大王庙,ZZ,36.88,,0.00
2023-04-26,荆门,61919400,双河,ZZ,46.07,,-0.05
2023-04-26,荆门,62239600,长滩,ZZ,34.84,,0.04
2023-04-26,荆门,61919750,洋梓,ZZ,43.24,,-0.06
