时间,水位,W,RWPTN,入库,出库,RSVRTP,HHRZ,HHRZTM,汛限水位,比讯限,ADDVCD站名,DRNA,FRGRD,HNNM,LGTD,LTTD,河流,站点编号,站点位置,站名,STTP,HN_NUM
2023-04-26T00:00:00.000Z,165.61,24.02,4,22.60,3.00,3,-,,164.0,1.61,433122,,2,沅水,109.9767,28.225,能溪,613K0113,湘西州泸溪县洗溪镇,能滩,RR,3
2023-04-26T00:00:00.000Z,266.80,18.6,6,20.00,20.00,3,-,,266.5,0.30,430527,,2,沅水,110.0594,26.7415,巫水,613K2601,邵阳市绥宁县河口苗族乡,河口,RR,3
2023-04-26T00:00:00.000Z,465.14,9.98,4,4.60,4.70,3,-,,465.0,0.14,430802,,2,澧水,110.5496,29.04497,九斗溪,614K0001,张家界市永定区天门山镇土木溪村,土木溪,RR,4
2023-04-26T00:00:00.000Z,125.00,15.6,5,138.44,123.44,3,-,,125.0,0.00,431003,12.0,2,湘江,113.093306,25.947556,耒水,611K5005,郴州市苏仙区五里牌镇,翠江,RR,1
2023-04-26T00:00:00.000Z,289.00,10.994,5,-,-,3,-,,289.0,0.00,430527,2236.0,2,沅水,110.093417,26.653139,巫水,613K2600,邵阳市绥宁县党坪苗族乡,界溪口,RR,3
2023-04-26T00:00:00.000Z,355.00,2.23,5,24.50,24.50,2,-,,355.0,0.00,431081,763.0,2,湘江,113.446365,25.577748,浙水,611K0961,郴州市资兴市黄草镇,过船轮,RR,1
2023-04-26T00:00:00.000Z,106.50,28.65,5,207.00,179.00,3,-,,106.5,0.00,431023,,2,湘江,113.124607,26.123196,耒水,611K0608,郴州市永兴县便江风景区,便江一级,RR,1
2023-04-26T08:00:00.000Z,40.30,466.57,,1751.87,2115.76,5,43.25,2006-07-26T00:00:00.000Z,40.3,0.00,430211,66002.0,2,湘江,113.104139,27.642694,湘江,61101750,株洲市天元区雷打石镇,株航电,RR,1
2023-04-26T00:00:00.000Z,96.00,16.26,6,200.00,200.00,3,-,,96.0,0.00,431023,,2,湘江,113.043157,26.183998,耒水,611K0609,郴州市永兴县便江风景区,便江二级,RR,1
2023-04-26T08:00:00.000Z,206.99,,,48.90,-,3,-,,207.0,-0.01,430522,,2,资水,111.409583,27.328944,资水,612K0214,邵阳市新邵县新田铺镇,晒谷滩,RR,2
2023-04-26T00:00:00.000Z,66.58,21.42,4,114.40,53.00,3,-,,66.6,-0.02,430381,,2,湘江,112.3186,27.64531,涟水,611K2620,湘潭市湘乡市虞唐镇,洋潭,RR,1
2023-04-26T08:00:00.000Z,210.94,,,-,-,3,-,,211.0,-0.06,431225,,2,沅水,110.0183,26.94806,巫水,613K1302,怀化市会同县高椅乡,高椅,RR,3
2023-04-26T00:00:00.000Z,231.93,35.0,4,121.00,131.00,3,-,,232.0,-0.07,430523,,2,资水,111.2373,27.01642,资水,612K0338,邵阳市邵阳县霞塘云乡,渣滩,RR,2
2023-04-26T08:00:00.000Z,114.91,,,102.39,102.39,3,-,,115.0,-0.09,431081,,2,湘江,113.152028,26.038528,耒水,611K0963,郴州市资兴市唐洞街道,程江口,RR,1
2023-04-26T00:00:00.000Z,109.70,11.5,6,-,-,3,-,,109.8,-0.10,430621,,2,洞庭湖,113.4926,29.05086,新墙河,615K0113,岳阳市岳阳县饶村乡,大坳,RR,5
2023-04-26T08:00:00.000Z,152.40,118.84,,308.00,339.00,4,153.3,2010-06-24T16:00:00.000Z,152.5,-0.10,431221,,2,沅水,110.2924,27.58558,沅水,613K0912,怀化市中方县铜湾镇,铜湾,RR,3
2023-04-26T00:00:00.000Z,343.90,1.086,4,-,-,2,-,,344.0,-0.10,430681,2.0,3,湘江,113.091,28.540056,白沙河,615K0520,岳阳市汨罗市玉池乡,青坑,RR,1
2023-04-26T08:00:00.000Z,174.88,,,360.11,326.78,3,-,,175.0,-0.12,431381,16260.0,2,资水,111.433806,27.67925,资水,612K1801,娄底市冷水江市冷水江街道,浪石滩,RR,2
2023-04-26T00:00:00.000Z,234.88,29.74,4,53.30,59.60,3,238.76,1991-02-13T03:08:00.000Z,235.0,-0.12,450327,1441.0,3,湘江,111.217,25.633,灌江,61102800,广西桂林市灌阳县水车乡穿岩村,水车,RR,1
2023-04-26T00:00:00.000Z,122.88,40.2,4,210.00,265.00,3,-,,123.0,-0.12,431223,,2,沅水,110.1437,27.93836,辰水,613K1110,怀化市辰溪县石碧乡,晓滩,RR,3
2023-04-26T00:00:00.000Z,212.37,23.73,4,20.00,60.00,3,-,,212.5,-0.13,431221,,2,沅水,109.938333,27.454167,舞水,613K0920,怀化市中方县中方镇,三角滩,RR,3
2023-04-26T00:00:00.000Z,178.85,6.8,4,20.00,20.00,3,-,,179.0,-0.15,431225,,2,沅水,109.9844,27.04556,巫水,613K1306,怀化市会同县黄茅乡,长田,RR,3
2023-04-26T00:00:00.000Z,318.35,20.8,4,20.00,40.00,3,-,,318.5,-0.15,431230,,2,沅水,109.6526,26.34692,渠水,613K1421,怀化市通道侗族自治县县溪镇,姚来滩,RR,3
2023-04-26T00:00:00.000Z,230.34,18.41,4,-,-,3,-,,230.5,-0.16,431228,,2,沅水,109.8421,27.53817,舞水,613K1602,怀化市芷江侗族自治县公坪镇,长泥坪,RR,3
2023-04-26T00:00:00.000Z,240.80,14.929,4,17.80,20.20,3,-,,241.0,-0.20,433126,490.0,2,沅水,109.751389,28.657222,涂乍河,613K0502,湘西州古丈县断龙山乡,白溪关,RR,3
2023-04-26T00:00:00.000Z,171.00,4.6,6,11.00,11.00,3,-,,171.2,-0.20,431281,,2,沅水,109.9928,27.10272,巫水,613K1928,怀化市洪江市常青乡,渔梁湾,RR,3
2023-04-26T08:00:00.000Z,128.80,,,362.96,362.96,4,-,,129.0,-0.20,431223,,2,沅水,110.27,27.98,沅水,613K1100,怀化市辰溪县修溪乡,大洑潭,RR,3
2023-04-26T08:00:00.000Z,117.64,3.02,5,-,-,2,-,,117.85,-0.21,360313,,5,湘江,113.724722,27.719444,荷尧水,611R8280,江西省萍乡市湘东区荷尧镇泉陂村,下石陂水库,RR,1
2023-04-26T00:00:00.000Z,1058.39,6.606,4,0.67,1.60,3,-,,1058.6,-0.21,431027,19.0,2,湘江,113.943083,26.128333,耒水,611K0800,郴州市桂东县沤江镇沤菜水库,沤菜,RR,1
2023-04-26T08:00:00.000Z,228.75,,,-,-,3,-,,229.0,-0.25,431225,,2,沅水,110.0417,26.87472,巫水,613K1301,怀化市会同县长寨乡,长寨,RR,3
2023-04-26T00:00:00.000Z,243.75,7.79,,60.00,-,3,-,,244.0,-0.25,431228,,2,沅水,109.7041,27.43075,舞水,613K1625,怀化市芷江侗族自治县岩桥镇,和平,RR,3
2023-04-26T00:00:00.000Z,154.71,8.82,4,168.00,180.00,3,-,,155.0,-0.29,430802,,2,澧水,110.5193,29.12739,澧水,614K0002,张家界市永定区西溪坪街道胡家河社区,红壁岩,RR,4
2023-04-26T00:00:00.000Z,200.90,16.2,4,18.00,20.50,3,-,,201.2,-0.30,431221,,2,沅水,109.9125,27.34786,舞水,613K0908,怀化市中方县中方镇,牌楼,RR,3
2023-04-26T00:00:00.000Z,275.00,7.7,4,-,24.80,3,-,,275.3,-0.30,431225,5230.0,2,沅水,109.723889,26.818333,渠水,613K1329,怀化市会同县连山乡,高涌洞,RR,3
