日期,站名,水位八点,库容八点,水位实时,库容实时,水位控制,库容控制,控制百分比
2023-04-26,周公宅水库,211.68,5813,211.68,5813,231.13,9570,60.7%
2023-04-26,皎口坝上,58.55,4452,58.49,4433,68.08,7808,56.8%
2023-04-26,亭下水库,67.44,3927,67.40,3915,82.65,10000,39.2%
2023-04-26,横山水库,87.01,2439,86.99,2436,109.67,7650,31.8%
2023-04-26,四明湖水库,13.37,4988,13.36,4978,16.28,7946,62.6%
2023-04-26,白溪水库,141.35,6634,141.29,6621,170.00,14500,45.7%
2023-04-26,溪下水库,32.93,208,33.01,211,55.00,2074,10.2%
2023-04-26,东钱湖水库,3.09,3357,3.09,3357,3.75,4429,75.8%
2023-04-26,横溪水库,22.63,955,22.61,953,31.42,2516,37.9%
2023-04-26,梅溪水库,37.33,827,37.31,825,46.61,1816,45.5%
2023-04-26,三溪浦水库,28.79,1635,28.78,1633,32.62,2534,64.4%
2023-04-26,十字路水库,19.27,1250,19.28,1252,23.62,1856,67.4%
2023-04-26,新路岙水库,11.09,241,11.11,242,21.46,1077,22.5%
2023-04-26,梁辉水库,34.20,1001,34.18,998,45.00,2476,40.3%
2023-04-26,陆埠水库,39.66,1046,39.68,1048,46.19,1830,57.3%
2023-04-26,双溪口水库,51.66,1393,51.65,1392,62.50,2525,55.1%
2023-04-26,里杜湖水库,9.43,694,9.45,696,15.71,1703,40.9%
2023-04-26,梅湖水库,12.53,495,12.51,493,20.13,1304,37.8%
2023-04-26,上林湖水库,5.74,546,5.73,544,9.92,1299,41.9%
2023-04-26,郑徐水库,2.88,3342,2.88,3342,4.50,4246,78.7%
2023-04-26,四灶浦水库,4.82,1348,4.87,1370,6.13,1921,71.3%
2023-04-26,西溪水库,127.30,3065,127.03,3025,147.00,7100,42.6%
2023-04-26,黄坛水库,75.48,874,75.94,910,78.80,1150,79.1%
2023-04-26,杨梅岭水库,22.58,582,22.34,551,24.11,833,66.1%
2023-04-26,胡陈港水库,-0.04,5025,-0.04,5025,0.55,5585,90.0%
2023-04-26,车岙港水库,3.51,666,3.51,666,4.52,1020,65.3%
2023-04-26,力洋水库,41.95,878,41.93,876,44.50,1102,79.5%
2023-04-26,仓岙水库,56.52,186,56.54,186,72.83,925,20.1%
2023-04-26,大塘港水库,0.55,2218,0.56,2224,0.85,2420,91.9%
2023-04-26,隔溪张水库,97.18,669,95.82,618,102.93,913,67.7%
2023-04-26,上张水库,27.01,787,27.41,830,35.00,1817,45.7%
2023-04-26,溪口水库,46.99,504,47.00,505,52.55,953,52.9%
2023-04-26,总计（32）,,62045,,61968,,114898,53.9%
2023-04-27,周公宅水库,211.68,5813,211.69,5815,231.13,9570,60.8%
2023-04-27,皎口坝上,58.46,4424,58.40,4405,68.08,7808,56.4%
