damel,时间,省,流域,河名,库水位(米),站点编号,站名,蓄水量(百万3),入库(米3/秒)
0,2023-04-26 08:00:00,青海省,内陆河,雪水河,3952.95,01200100,温泉,57,0
0,2023-04-26 08:00:00,,海河流域,滦河,217.59,30101101,潘家口,1795,0
0,2023-04-26 08:00:00,,海河流域,滦河,130.61,30101201,大黑汀,256,0
0,2023-04-26 14:00:00,河北省,海河,青龙河,135.05,30104403,桃林口水库,0,0
0,2023-04-26 14:00:00,河北省,海河,陡河,29.27,30201101,陡河水库(坝上),0,0
0,2023-04-26 14:00:00,天津市,海河,潮白新河,3.9,30300500,黄白桥上,0,0
0,2023-04-26 14:00:00,天津市,海河,潮白新河,0.25,30300600,宁车沽上,0,0
0,2023-04-26 08:00:00,,海河,白河,593.14,30301400,白河堡,45,1
0,2023-04-26 08:00:00,,海河,白河,151.42,30301800,密云白河坝上,2945,5
0,2023-04-26 08:00:00,,海河,牤牛河,252.87,30302100,半城子水库,4,0
0,2023-04-26 08:00:00,,海河,安达木河,435.02,30303000,遥桥峪水库,0,0
0,2023-04-26 08:00:00,,海河,红门川,162.8,30303400,沙厂水库,12,0
0,2023-04-26 08:00:00,,海河,怀河,57.03,30303600,怀柔水库,32,1
0,2023-04-26 08:00:00,,海河,雁栖河,81.79,30304100,北台上水库,13,0
0,2023-04-26 08:00:00,,海河,沙河,170.71,30304200,大水峪水库,11,0
0,2023-04-26 08:00:00,,海河,泃河,105.29,30401400,海子水库,50,0
0,2023-04-26 08:00:00,,海河,泃河,201.76,30402100,黄松峪水库,7,0
0,2023-04-26 08:00:00,,海河,泃河,213.03,30402200,西峪水库,5,0
0,2023-04-26 14:00:00,天津市,海河,州河,19.31,30402800,于桥坝上,0,0
0,2023-04-26 14:00:00,河北省,海河,还乡河,61.45,30404500,邱庄水库(坝上),0,0
0,2023-04-26 08:00:00,天津市,海河,引滦明渠,4.56,30405306,尔王庄库,34,0
0,2023-04-26 08:00:00,,海河,温榆河,89.42,30503400,十三陵水库,18,0
0,2023-04-26 08:00:00,,海河,东沙河,546.83,30503403,十三陵水库上池,1,0
0,2023-04-26 08:00:00,,海河,温榆河,53.0,30503500,桃峪口水库,0,0
0,2023-04-26 08:00:00,,海河,永定河,476.77,30700100,官厅水库,591,0
0,2023-04-26 08:00:00,山西省,海河,桑干河,952.22,30702400,册田,75,0
0,2023-04-26 08:00:00,,海河,清水河,454.67,30707501,斋堂水库,23,0
0,2023-04-26 08:00:00,,海河,刺猬河,70.49,30805100,崇青水库,7,0
0,2023-04-26 08:00:00,河北省,海河,白洋淀,8.58,30806201,十方院（白）（堰上）,390,0
0,2023-04-26 08:00:00,河北省,海河,滹沱河,193.1,30909200,岗南水库(坝上),592,0
0,2023-04-26 08:00:00,河北省,海河,滹沱河,116.55,30909303,黄壁庄水库(坝上),331,0
0,2023-04-26 08:00:00,天津市,海河,团泊洼,3.35,31002650,团泊洼水库,112,0
0,2023-04-26 08:00:00,河南省,海河,卫河,253.92,31005110,宝泉,44,0
0,2023-04-26 08:00:00,河南省,海河,石门河,282.21,31005200,石门水库,8,0
0,2023-04-26 08:00:00,河南省,海河,沧河,294.63,31005480,狮豹头,5,0
0,2023-04-26 08:00:00,河南省,海河,沧河,175.23,31005500,塔岗,8,0
0,2023-04-26 08:00:00,河南省,海河,淇河,760.35,31005550,陈家院,5,0
0,2023-04-26 08:00:00,河南省,海河,淅河,494.0,31006000,弓上,11,0
0,2023-04-26 08:00:00,河南省,海河,汤河,113.75,31006500,汤河,20,1
0,2023-04-26 08:00:00,河南省,海河,通河,115.45,31006570,琵琶寺,3,0
0,2023-04-26 08:00:00,河南省,海河,安阳河,162.7,31006700,小南海,21,0
0,2023-04-26 08:00:00,河南省,海河,安阳河,128.05,31006850,彰武,28,0
0,2023-04-26 08:00:00,河南省,海河,粉红江,214.72,31006950,双泉,4,0
0,2023-04-26 08:00:00,,海河流域,漳河,138.75,31007100,岳城水库（坝上）,327,0
0,2023-04-26 08:00:00,河南省,海河,露水河,514.01,31007580,南谷洞,29,0
0,2023-04-26 08:00:00,青海省,黄河,黄河,2579.88,40100400,龙羊峡,16569,502
0,2023-04-26 08:00:00,宁夏回族自治区,黄河,黄河,1156.05,40102050,青铜峡水库,39,1050
0,2023-04-26 08:00:00,,黄河,黄河,973.04,40103458,万家寨上,434,273
