LGTD,LTTD,站点编号,时间,站名,zr,ymdh,dyrn,z,保证水位,dwz,河名,avq,hnnm,w,detaz,unitname,damel,iymdh,fymdh,q,警戒水位,sttp,obhtztm,frgrd,obhtz
118.066000,26.583000,70900950,2023-04-26 22,沙溪口水库,85.62,,,85.62,85.00,,浙闽台河流,,闽江上游区沙溪,,0.62,,93.00,,,,85.00,水库,,,
120.043238,29.131741,70109830,2023-04-26 22,柏峰水库,122.86,,,122.86,124.33,,浙闽台河流,,钱塘江流域,,0.36,,126.20,,,,122.50,水库,,,
119.412911,29.722394,70114950,2023-04-26 22,罗村水库,262.17,,,262.17,269.07,,浙闽台河流,,钱塘江流域,,0.07,,271.60,,,,262.10,水库,,,
117.617500,30.761111,60115000,2023-04-26 22,大通(二),7.46,,,7.46,17.10,,长江,,长江中下游,,,,18.95,,,24200.000,14.40,河道,1954-08-01 00:00:00,,16.640
118.726837,32.083918,60116200,2023-04-26 22,南京,4.23,,,4.23,10.60,,长江,,长江中下游,,,,,,,,8.70,潮位,2020-07-21 09:45:00,,10.390
119.383621,32.217407,60116601,2023-04-26 22,镇江（二）,4.06,,,4.06,8.85,,太湖流域,,湖西区,,,,,,,,7.50,潮位,2020-07-21 07:30:00,,8.770
120.306192,31.949744,60117000,2023-04-26 22,江阴,3.03,,,3.03,7.25,,太湖流域,,武澄锡虞区,,,,9.25,,,,5.90,潮位,1997-08-19 00:00:00,,7.220
121.271667,31.535278,60117520,2023-04-26 22,杨林,1.75,,,1.75,,,太湖流域,,长江中下游,,,,,,,,,河道,,,
118.306030,28.884972,62414650,2023-04-26 22,千家排水库,208.44,,,208.44,219.22,,浙闽台河流,,钱塘江流域,,,,221.90,,,,216.60,水库,,,
118.422960,28.762241,62414710,2023-04-26 22,岭后水库,129.77,,,129.77,,,浙闽台河流,,钱塘江流域,,,,,,,,,水库,,,
118.420830,28.687777,62414720,2023-04-26 22,苏源水库,139.75,,,139.75,,,浙闽台河流,,钱塘江流域,,,,,,,,,水库,,,
118.431710,28.675186,62414730,2023-04-26 22,龙头水库,146.40,,,146.40,,,浙闽台河流,,钱塘江流域,,,,,,,,,水库,,,
118.423333,28.607500,62414740,2023-04-26 22,青口水库,163.03,,,163.03,,,浙闽台河流,,钱塘江流域,,,,,,,,,水库,,,
121.566000,31.377000,62701710,2023-04-26 22,高桥（二）,1.25,,,1.25,5.95,,太湖流域,,浦东浦西区,,,,,,,,4.90,潮位,1997-08-18 00:00:00,,5.990
119.251098,32.066345,62702560,2023-04-26 22,仑山水库,48.15,,,48.15,,,太湖流域,,湖西区,,,,,,,,,水库,,,
119.314785,31.885070,62702630,2023-04-26 22,墓东水库,28.18,,,28.18,,,太湖流域,,湖西区,,,,,,,,,水库,,,
119.333839,31.741452,62702670,2023-04-26 22,茅东水库,23.20,,,23.20,,,太湖流域,,湖西区,,,,,,,,,水库,,,
119.601370,30.331973,63000100,2023-04-26 22,里畈水库,219.82,,,219.82,239.22,,太湖流域,,浙西区,,,,242.00,,,,234.70,水库,,,
119.626765,30.263472,63000200,2023-04-26 22,桥东村,85.10,,,85.10,87.42,,太湖流域,,浙西区,,,,88.86,,,,86.42,河道,1999-06-30 00:00:00,,88.570
119.796940,30.250555,63000600,2023-04-26 22,青山水库,22.26,,,22.26,32.56,,太湖流域,,浙西区,,,,36.26,,,,23.16,水库,,,
119.925611,30.276305,63001000,2023-04-26 22,余杭,5.22,,,5.22,10.50,,太湖流域,,浙西区,,,,11.33,,,5.810,9.00,河道,,,
119.964916,30.397805,63001200,2023-04-26 22,瓶窑,3.06,,,3.06,8.50,,太湖流域,,浙西区,,,,10.24,,,8.540,7.50,河道,1999-07-01 00:00:00,,9.191
120.074713,30.548036,63001600,2023-04-26 22,德清大桥,3.07,,,3.07,,,太湖流域,,浙西区,,,,7.55,,,0.160,,河道,,,
120.073685,30.865421,63002200,2023-04-26 22,城西大桥,1.24,,,1.24,,,太湖流域,,浙西区,,,,,,,-0.068,,河道,,,
120.077469,30.866664,63002400,2023-04-26 22,杭长桥,3.06,,,3.06,5.00,,太湖流域,,杭嘉湖区,,,,6.49,,,8.653,4.50,河道,,,
119.906972,30.267194,63002500,2023-04-26 22,南湖分洪闸上,5.24,,,5.24,,,太湖流域,,浙西区,,,,12.40,,,,,河道,,,
119.709900,30.344048,63002550,2023-04-26 22,水涛庄水库,122.12,,,122.12,151.00,,太湖流域,,浙西区,,,,152.20,,,,141.20,水库,,,
119.849339,30.338681,63002600,2023-04-26 22,余杭长乐,4.00,,,4.00,,,太湖流域,,浙西区,,,,,,,0.071,,河道,,,
119.912653,30.348055,63002700,2023-04-26 22,北湖分洪闸上,4.81,,,4.81,9.34,,太湖流域,,浙西区,,,,10.20,,,,7.84,河道,,,
119.780000,30.421111,63003100,2023-04-26 22,四岭水库,63.01,,,63.01,79.20,,太湖流域,,浙西区,,,,82.16,,,,69.60,水库,,,
119.883383,30.514056,63003200,2023-04-26 22,对河口水库,40.66,,,40.66,55.18,,太湖流域,,浙西区,,,,61.40,,,,50.20,水库,,,
120.076888,30.544913,63005000,2023-04-26 22,德清大闸上,3.06,,,3.06,6.00,,太湖流域,,浙西区,,,,,,,,5.00,闸坝,2013-10-08 00:00:00,,6.471
120.068643,30.621925,63005200,2023-04-26 22,洛舍闸,3.09,,,3.09,5.90,,太湖流域,,浙西区,,,,,,,0.000,4.90,闸坝,,,
119.942304,30.672598,63005350,2023-04-26 22,老虎潭水库,33.91,,,33.91,53.56,,太湖流域,,浙西区,,,,54.80,,,,49.00,水库,,,
120.060870,30.670842,63005800,2023-04-26 22,鲇鱼口闸上,3.08,,,3.08,5.70,,太湖流域,,浙西区,,,,,,,2.201,4.80,闸坝,,,
120.069791,30.723292,63006000,2023-04-26 22,菁山闸上,3.05,,,3.05,5.50,,太湖流域,,浙西区,,,,,,,1.075,4.70,河道,,,
120.122082,30.798273,63006220,2023-04-26 22,新吴沈门闸上,3.07,,,3.07,,,太湖流域,,浙西区,,,,,,,19.188,,闸坝,,,
120.105371,30.849998,63006300,2023-04-26 22,湖州船闸,3.12,,,3.12,,,太湖流域,,浙西区,,,,,,,-18.793,,闸坝,,,
119.483172,30.633535,63006800,2023-04-26 22,赋石水库,74.27,,,74.27,87.14,,太湖流域,,浙西区,,,,91.37,,,,78.62,水库,,,
119.711222,30.738306,63007400,2023-04-26 22,横塘村,3.09,,,3.09,10.00,,太湖流域,,浙西区,,,,11.67,,,-1.800,8.50,河道,,,
119.755378,30.805582,63007600,2023-04-26 22,梅溪,3.08,,,3.08,8.00,,太湖流域,,浙西区,,,,9.93,,,,7.00,河道,1963-09-13 00:00:00,,9.566
119.868960,30.868329,63008100,2023-04-26 22,港口,3.10,,,3.10,6.60,,太湖流域,,浙西区,,,,8.77,,,23.100,5.60,河道,2013-10-08 00:00:00,,7.911
