日期,站名,时间,水位,出库,入库,库容
2023-01-24,天生桥(一级),01-24 08:00,765.12,99,16,6094
2023-01-24,龙滩,01-24 08:00,354.51,211,221,9954
2023-01-24,岩滩,01-24 08:00,220.96,1650,35,1970
2023-01-24,长洲枢纽,01-24 08:00,20.10,2020,3000,1778
2023-01-24,西津,01-24 08:00,60.77,181,320,810
2023-01-24,百色水库,01-24 08:00,217.06,93,38,3487
2023-01-24,飞来峡（坝上）,01-24 08:00,23.70,360,300,402
2023-01-24,棉花滩水库,01-24 08:00,159.00,NaN,NaN,988
2023-01-26,天生桥一级,02-01 08:00,763.445,273.170,-31.530,728.340
2023-01-26,龙滩,02-03 08:00,349.390,896.000,731.000,728.340
2023-01-26,岩滩,02-03 08:00,221.270,457.000,924.000,728.340
2023-01-26,长洲枢纽,02-04 08:00,20.060,1700.000,1750.000,728.340
2023-01-26,西津,02-04 08:00,60.330,240.000,235.000,728.340
2023-01-26,百色水库,02-04 08:00,216.230,0.000,61.000,728.340
2023-01-26,飞来峡,02-04 08:00,22.070,-,-,728.340
2023-01-26,棉花滩水库,02-04 08:00,147.280,0.000,42.600,728.340
2023-01-27,天生桥(一级),01-27 08:00,764.98,101,142,6072
2023-01-27,龙滩,01-27 08:00,354.19,247,352,9872
2023-01-27,岩滩,01-27 08:00,220.65,1490,246,1940
2023-01-27,长洲枢纽,01-24 08:00,20.10,2020,3000,1778
2023-01-27,西津,01-27 08:00,60.72,184,339,806
2023-01-27,百色水库,01-27 08:00,216.74,143,55,3453
2023-01-27,飞来峡（坝上）,01-27 08:00,23.64,310,230,397
2023-01-27,棉花滩水库,01-27 08:00,158.69,5,99,976
2023-01-28,天生桥(一级),01-28 08:00,764.92,103,143,6064
2023-01-28,龙滩,01-28 08:00,354.08,448,525,9844
2023-01-28,岩滩,01-28 08:00,220.30,1930,727,1900
2023-01-28,长洲枢纽,01-28 08:00,19.95,1200,1200,1753
2023-01-28,西津,01-28 08:00,60.81,182,377,813
2023-01-28,百色水库,01-28 08:00,216.55,128,64,3432
2023-01-28,飞来峡（坝上）,01-28 08:00,23.61,310,220,395
2023-01-28,棉花滩水库,01-28 08:00,158.60,NaN,NaN,973
2023-01-29,天生桥一级,02-01 08:00,763.445,273.170,-31.530,728.340
2023-01-29,龙滩,02-03 08:00,349.390,896.000,731.000,728.340
2023-01-29,岩滩,02-03 08:00,221.270,457.000,924.000,728.340
2023-01-29,长洲枢纽,02-04 08:00,20.060,1700.000,1750.000,728.340
2023-01-29,西津,02-04 08:00,60.330,240.000,235.000,728.340
2023-01-29,百色水库,02-04 08:00,216.230,0.000,61.000,728.340
2023-01-29,飞来峡,02-04 08:00,22.070,-,-,728.340
2023-01-29,棉花滩水库,02-04 08:00,147.280,0.000,42.600,728.340
2023-01-30,天生桥(一级),01-30 08:00,764.80,101,143,6047
2023-01-30,龙滩,01-30 08:00,353.93,403,737,9806
2023-01-30,岩滩,01-30 08:00,220.32,1370,519,1900
2023-01-30,长洲枢纽,01-30 08:00,19.94,1250,1750,1751
2023-01-30,西津,01-30 08:00,60.99,179,279,828
2023-01-30,百色水库,01-30 08:00,216.31,157,49,3406
2023-01-30,飞来峡（坝上）,01-30 08:00,23.81,240,280,409
2023-01-30,棉花滩水库,01-30 08:00,158.33,0,84,963
2023-02-01,天生桥一级,02-01 08:00,763.445,273.170,-31.530,728.340
2023-02-01,龙滩,02-03 08:00,349.390,896.000,731.000,728.340
2023-02-01,岩滩,02-03 08:00,221.270,457.000,924.000,728.340
2023-02-01,长洲枢纽,02-04 08:00,20.060,1700.000,1750.000,728.340
2023-02-01,西津,02-04 08:00,60.330,240.000,235.000,728.340
2023-02-01,百色水库,02-04 08:00,216.230,0.000,61.000,728.340
2023-02-01,飞来峡,02-04 08:00,22.070,-,-,728.340
2023-02-01,棉花滩水库,02-04 08:00,147.280,0.000,42.600,728.340
2023-02-02,天生桥一级,02-01 08:00,763.445,273.170,-31.530,728.340
2023-02-02,龙滩,02-03 08:00,349.390,896.000,731.000,728.340
2023-02-02,岩滩,02-03 08:00,221.270,457.000,924.000,728.340
2023-02-02,长洲枢纽,02-04 08:00,20.060,1700.000,1750.000,728.340
2023-02-02,西津,02-04 08:00,60.330,240.000,235.000,728.340
