2021-01-01,河名,站名,水位,流量,含沙量
2021-01-01,黄河                          ,唐乃亥                        ,2670.64,262,-
2021-01-01,黄河                          ,龙羊峡入库,-,279,-
2021-01-01,黄河                          ,龙羊峡蓄水量,2598.3,(236)亿,-
2021-01-01,黄河                          ,龙羊峡出库,-,612,-
2021-01-01,黄河                          ,刘家峡入库,-,765,-
2021-01-01,黄河                          ,刘家峡蓄水量,1727.62,(30.5)亿,-
2021-01-01,黄河                          ,刘家峡出库,-,624,-
2021-01-01,黄河                          ,兰州                          ,1510.69,688,-
2021-01-01,黄河                          ,下河沿                        ,1229.68,812,-
2021-01-01,黄河                          ,石嘴山                        ,1085.76,792,-
2021-01-01,黄河                          ,巴彦高勒                      ,1052.46,522,-
2021-01-01,黄河                          ,三湖河口                      ,1018.3,771,-
2021-01-01,黄河                          ,包头                          ,1003.48,675,-
2021-01-01,黄河                          ,头道拐                        ,988.56,591,-
2021-01-01,黄河                          ,万家寨蓄水量,967.79,(2.71)亿,-
2021-01-01,黄河                          ,万家寨上出库,-,286,-
2021-01-01,黄河                          ,万家寨下                      ,899.06,286,-
2021-01-01,黄河                          ,府谷                          ,807.38,548,-
2021-01-01,黄河                          ,吴堡                          ,636.4,780,-
2021-01-01,黄河                          ,龙门                          ,377.52,540,-
2021-01-01,汾河                          ,河津                          ,370.45,15.6,-
2021-01-01,北洛河                        ,状头                          ,360.72,12.9,-
2021-01-01,泾河                          ,张家山                        ,419.87,17.7,-
2021-01-01,渭河                          ,咸阳                          ,376.59,59.6,-
2021-01-01,渭河                          ,华县                          ,334.17,147,-
2021-01-01,黄河                          ,潼关                          ,325.76,810,-
2021-01-01,黄河                          ,史家滩蓄水量,317.13,(5.04)亿,-
2021-01-01,黄河                          ,三门峡                        ,273.5,530,-
2021-01-01,黄河                          ,小浪底上蓄水量,262.72,(64.3)亿,-
2021-01-01,黄河                          ,小浪底                        ,134.39,1160,*299
2021-01-01,伊河                          ,东湾                          ,-,-,-
2021-01-01,伊河                          ,陆浑坝上蓄水量,314.24,(4.69)亿,-
2021-01-01,伊河                          ,陆浑坝上出库,-,-,-
2021-01-01,伊河                          ,龙门镇                        ,147.38,9.47,-
2021-01-01,洛河                          ,卢氏                          ,-,-,-
2021-01-01,洛河                          ,故县水库蓄水量,526.88,(5.03)亿,-
2021-01-01,洛河                          ,故县水库出库,-,-,-
2021-01-01,洛河                          ,长水（二）                    ,378.01,4.90,-
2021-01-01,洛河                          ,白马寺                        ,113.52,25.6,-
2021-01-01,伊洛河                        ,黑石关                        ,104.5,21.7,-
2021-01-01,丹河                          ,山路坪                        ,-,-,-
2021-01-01,沁河                          ,五龙口                        ,-,-,-
2021-01-01,沁河                          ,武陟                          ,98.21,1.81,-
2021-01-01,黄河                          ,花园口                        ,88.53,629,*1.27
2021-01-01,黄河                          ,夹河滩                        ,71.29,675,*2
2021-01-01,黄河                          ,高村                          ,57.48,574,*3.84
2021-01-01,黄河                          ,孙口                          ,42.97,665,*3.70
2021-01-01,大汶河                        ,戴村坝,-,-,-
2021-01-01,东平湖                        ,东平湖老湖蓄水量,41.51,(5.36)亿,-
2021-01-01,大汶河                        ,出湖闸,-,-,-
2021-01-01,黄河                          ,艾山                          ,36.16,629,*3.23
2021-01-01,黄河                          ,泺口                          ,24.55,532,*4.06
2021-01-01,黄河                          ,利津                          ,8.85,399,*4.25
2021-01-02,黄河                          ,唐乃亥                        ,2670.62,256,-
2021-01-02,黄河                          ,龙羊峡入库,-,236,-
