时间,站名,具体时间,水位,流量,涨落
2023-01-24,向家坝,24日23时,266.33,1970,落
2023-01-24,寸滩,24日23时,159.78,3860,落
2023-01-24,万县,24日23时,157.22,-,落
2023-01-24,宜昌,24日23时,40.12,7660,落
2023-01-24,沙市,24日23时,29.43,6810,平
2023-01-24,螺山,24日23时,17.95,8150,平
2023-01-24,汉口,24日23时,12.63,8590,平
2023-01-24,九江,24日23时,7.96,9110,涨
2023-01-24,大通,24日23时,4.64,11000,落
2023-01-24,城陵矶㈦,24日23时,19.24,1460,平
2023-01-24,皇庄,24日23时,39.15,624,平
2023-01-24,湖口,24日23时,7.17,1490,落
2023-01-26,向家坝,26日22时,267.03,2550,平
2023-01-26,寸滩,26日22时,159.37,3600,涨
2023-01-26,万县,26日22时,156.44,-,落
2023-01-26,宜昌,26日22时,40.13,7690,涨
2023-01-26,沙市,26日22时,29.53,6860,平
2023-01-26,螺山,26日22时,18.00,8200,平
2023-01-26,汉口,26日22时,12.62,8570,平
2023-01-26,九江,26日22时,7.87,8840,落
2023-01-26,大通,26日22时,4.47,10600,落
2023-01-26,城陵矶㈦,26日22时,19.27,1280,涨
2023-01-26,皇庄,26日22时,39.16,628,平
2023-01-26,湖口,26日22时,7.02,1420,落
2023-01-27,向家坝,27日22时,268.19,3730,平
2023-01-27,寸滩,27日22时,159.42,3760,平
2023-01-27,万县,27日22时,156.10,-,落
2023-01-27,宜昌,27日22时,40.22,7880,涨
2023-01-27,沙市,27日22时,29.49,6810,落
2023-01-27,螺山,27日22时,18.02,8200,涨
2023-01-27,汉口,27日22时,12.59,8530,落
2023-01-27,九江,27日22时,7.85,8830,落
2023-01-27,大通,27日22时,4.49,10500,落
2023-01-27,城陵矶㈦,27日22时,19.28,1270,涨
2023-01-27,皇庄,27日22时,39.47,780,涨
2023-01-27,湖口,27日22时,7.00,1410,涨
2023-01-28,向家坝,28日22时,269.08,4730,落
2023-01-28,寸滩,28日22时,159.49,-,涨
2023-01-28,万县,28日22时,155.78,-,落
2023-01-28,宜昌,28日22时,39.95,7280,涨
2023-01-28,沙市,28日22时,29.52,6890,平
2023-01-28,螺山,28日22时,18.01,8190,平
2023-01-28,汉口,28日22时,12.60,8550,平
2023-01-28,九江,28日22时,7.80,8780,落
2023-01-28,大通,28日22时,4.41,10300,落
2023-01-28,城陵矶㈦,28日22时,19.26,1290,平
2023-01-28,皇庄,28日22时,39.37,740,落
2023-01-28,湖口,28日22时,6.93,1410,落
2023-01-29,向家坝,29日22时,269.76,5510,落
2023-01-29,寸滩,29日22时,160.18,5020,平
2023-01-29,万县,29日22时,155.54,-,落
2023-01-29,宜昌,29日22时,39.86,7060,涨
2023-01-29,沙市,29日22时,29.46,6820,平
2023-01-29,螺山,29日22时,17.98,8160,落
2023-01-29,汉口,29日22时,12.60,8550,落
2023-01-29,九江,29日22时,7.74,8730,落
2023-01-29,大通,29日22时,4.23,10100,落
2023-01-29,城陵矶㈦,29日22时,19.24,1320,涨
2023-01-29,皇庄,29日22时,39.09,628,平
2023-01-29,湖口,29日22时,6.83,1400,落
2023-01-30,向家坝,30日22时,269.76,5510,落
