日期,市,市(县),站名,时间,水位,警戒水位,水势
2023-04-15,广州市,增城市,麒麟咀(二),2023-04-1523时,5.64,8.50,落
2023-04-15,广州市,从化市,太平场镇,2023-04-1523时,10.30,17.00,平
2023-04-15,广州市,广州市花都区,清布,2023-04-1523时,2.97,,平
2023-04-15,广州市,广州市白云区,三元里,2023-04-1523时,0.03,,平
2023-04-15,广州市,广州市荔湾区,华贵路,2023-04-1523时,0.18,,涨
2023-04-15,广州市,广州市荔湾区,中山八路,2023-04-1523时,0.00,,平
2023-04-15,广州市,广州市荔湾区,恩洲南横,2023-04-1523时,0.00,,平
2023-04-15,广州市,广州市天河区,天河客运站,2023-04-1523时,0.02,,平
2023-04-15,广州市,广州市花都区,莲溪,2023-04-1523时,1.48,,平
2023-04-15,广州市,增城市,何大塘电站,2023-04-1523时,27.34,,平
2023-04-15,韶关市,乳源瑶族自治县,柳坑河,2023-04-1523时,0.25,,平
2023-04-15,韶关市,乳源瑶族自治县,深洞村委,2023-04-1523时,0.27,,平
2023-04-15,韶关市,乳源瑶族自治县,长溪村委,2023-04-1523时,369.11,,平
2023-04-15,韶关市,南雄市,黎口河道,2023-04-1523时,121.65,,平
2023-04-15,韶关市,新丰县,遥田镇水位站,2023-04-1523时,142.12,,平
2023-04-15,韶关市,新丰县,黄礤镇水位站,2023-04-1523时,410.08,,平
2023-04-15,韶关市,新丰县,马头镇水位站,2023-04-1523时,131.47,,平
2023-04-15,韶关市,南雄市,凌江河,2023-04-1523时,264.22,,平
2023-04-15,韶关市,翁源县,芙蓉,2023-04-1520时,153.59,,涨
2023-04-15,韶关市,乐昌市,三溪,2023-04-1523时,177.46,,平
2023-04-15,韶关市,新丰县,新丰,2023-04-1523时,157.72,,平
2023-04-15,韶关市,新丰县,岳城,2023-04-1523时,144.38,,落
2023-04-15,韶关市,乐昌市,坪石(二),2023-04-1522时,149.02,,涨
2023-04-15,韶关市,南雄市,南雄(一),2023-04-1523时,118.75,,落
2023-04-15,韶关市,始兴县,小古菉,2023-04-1523时,103.66,,涨
2023-04-15,韶关市,始兴县,江口(坝下),2023-04-1523时,83.20,,平
2023-04-15,韶关市,仁化县,乱石滩(大桥),2023-04-1523时,65.18,,落
2023-04-15,韶关市,仁化县,湾头坝下,2023-04-1523时,52.88,,落
2023-04-15,韶关市,韶关市浈江区,新韶,2023-04-1523时,52.55,,涨
2023-04-15,韶关市,韶关市武江区,东河桥,2023-04-1523时,52.55,,涨
2023-04-15,韶关市,韶关市武江区,韶关(二),2023-04-1523时,52.46,53.00,平
2023-04-15,韶关市,曲江区,乌石,2023-04-1523时,36.69,,落
2023-04-15,韶关市,南雄市,长市,2023-04-1523时,134.55,,落
2023-04-15,韶关市,南雄市,外溪,2023-04-1523时,184.50,,落
2023-04-15,韶关市,南雄市,苍石,2023-04-1523时,131.07,,平
2023-04-15,韶关市,始兴县,澄江,2023-04-1523时,264.73,,平
2023-04-15,韶关市,始兴县,司前,2023-04-1523时,213.01,,涨
2023-04-15,韶关市,始兴县,禾花塘,2023-04-1523时,130.13,,涨
2023-04-15,韶关市,始兴县,结龙湾,2023-04-1523时,134.50,,平
2023-04-15,韶关市,始兴县,沈所,2023-04-1523时,99.01,,落
2023-04-15,韶关市,始兴县,始兴,2023-04-1523时,99.95,,涨
2023-04-15,韶关市,仁化县,大坝,2023-04-1523时,76.97,,涨
2023-04-15,韶关市,仁化县,仁化(三),2023-04-1523时,85.73,,落
