日期,市（洲）,站点编号,站名,站类,水位,流量,昨日涨落
2023-04-15,武汉,61600400,南湖,ZZ,18.88,,0.00
2023-04-15,武汉,61600550,青龙咀（三）,ZZ,18.41,,0.00
2023-04-15,武汉,61600560,黄家湖,ZZ,18.30,,0.01
2023-04-15,武汉,61600570,青菱湖,ZZ,18.10,,0.00
2023-04-15,武汉,61600600,沙湖,ZZ,19.84,,-0.01
2023-04-15,武汉,61601200,东湖,ZZ,19.75,,0.00
2023-04-15,武汉,61601203,罗家港,ZZ,17.98,,0.05
2023-04-15,武汉,61601204,北洋桥,ZZ,18.94,,0.00
2023-04-15,武汉,61601400,北湖,ZZ,18.45,,0.03
2023-04-15,武汉,61601510,严西湖,ZZ,18.69,,0.00
2023-04-15,武汉,61601550,严东湖,ZZ,18.27,,0.00
2023-04-15,武汉,61602551,梁子湖闸内,ZZ,16.07,,-0.02
2023-04-15,武汉,61609400,黄陂（二）,ZZ,22.18,,0.32
2023-04-15,武汉,61609451,武湖桥头,ZZ,15.78,,0.24
2023-04-15,武汉,61609452,武湖北湖闸,ZZ,17.73,,-0.02
2023-04-15,武汉,61609900,合丰,ZZ,20.27,,0.04
2023-04-15,武汉,61610500,冯家集,ZZ,22.60,,-0.03
2023-04-15,武汉,61610600,李家集,ZZ,24.87,,-0.03
2023-04-15,武汉,61611210,挖沟(二),ZZ,17.52,,0.00
2023-04-15,武汉,61614500,四合庄,ZZ,20.23,,-0.02
2023-04-15,武汉,61717500,南阳（二）,ZZ,,,--
2023-04-15,武汉,62206700,金银湖,ZZ,18.67,,-0.06
2023-04-15,武汉,62206710,黄孝河明渠,ZZ,,,--
2023-04-15,武汉,62206720,后湖,ZZ,17.17,,0.01
2023-04-15,武汉,62206721,后湖泵站,ZZ,15.94,,0.81
2023-04-15,武汉,62212840,索河,ZZ,20.79,,0.09
2023-04-15,武汉,62213650,周家山,ZZ,18.27,,0.07
2023-04-15,武汉,62213670,挖口,DD,,,--
2023-04-15,武汉,62213900,周湾,ZZ,18.80,,0.06
2023-04-15,武汉,62214000,后官湖,ZZ,18.94,,-0.04
2023-04-15,武汉,62214100,龙阳湖,ZZ,19.73,,-0.04
2023-04-15,武汉,62214300,三角湖,ZZ,18.98,,0.06
2023-04-15,武汉,62214400,北太子湖,ZZ,19.39,,0.00
2023-04-15,武汉,61804749,新沟,ZZ,16.84,,-0.13
2023-04-15,武汉,61609100,长轩岭(二),ZQ,27.04,6.01,-0.05
2023-04-15,武汉,61612400,柳子港,ZQ,23.43,18.7,0.01
2023-04-15,武汉,61804800,舵落口,ZQ,16.11,,-0.17
2023-04-15,宜昌,60514200,陕西营,ZQ,169.68,0.111,0.00
2023-04-15,宜昌,60514300,兴山,ZQ,155.69,7.77,-0.01
2023-04-15,宜昌,60519980,茅坪,ZQ,95.75,1.31,-0.01
2023-04-15,宜昌,60902000,小溪塔,ZQ,66.11,2.10,-0.02
2023-04-15,宜昌,60903010,雾渡河,ZQ,404.78,0.0960,-0.01
2023-04-15,宜昌,60906000,远安,ZQ,103.47,3.11,0.09
2023-04-15,宜昌,60908000,河溶,ZQ,39.29,11.1,-0.08
2023-04-15,宜昌,61002800,水布垭,ZQ,191.11,87.2,-0.02
2023-04-15,宜昌,61003000,渔峡口,ZQ,183.33,,0.09
2023-04-15,宜昌,61004750,高坝州,ZQ,38.21,7.88,0.00
2023-04-15,宜昌,61008500,招徕河,ZQ,195.64,0.278,0.00
2023-04-15,宜昌,61010000,高家堰,ZQ,12.76,2.35,0.00
2023-04-15,宜昌,61010500,渔洋关,ZQ,14.39,1.98,-0.02
2023-04-15,宜昌,61011010,聂家河,ZQ,79.79,0.103,0.12
2023-04-15,宜昌,60514371,杨林桥,ZQ,21.41,4.60,-0.01
2023-04-15,宜昌,60927000,张家口,ZZ,204.58,,0.00
2023-04-15,宜昌,60514220,两河口,ZZ,374.00,,0.02
2023-04-15,宜昌,60514240,龚家桥(高桥),ZZ,753.90,,-0.01
