日期,河名,站名,水位,流量,含沙量
2023-01-24,黄河,唐乃亥,2670.46,156,-
2023-01-24,黄河,龙羊峡入库,-,179,-
2023-01-24,黄河,龙羊峡蓄水量,2585.36,(185)亿,-
2023-01-24,黄河,龙羊峡出库,-,307,-
2023-01-24,黄河,刘家峡入库,-,391,-
2023-01-24,黄河,刘家峡蓄水量,1727.51,(30.4)亿,-
2023-01-24,黄河,刘家峡出库,-,433,-
2023-01-24,黄河,兰州,1509.95,357,-
2023-01-24,黄河,下河沿,1228.95,492,-
2023-01-24,黄河,石嘴山,1087.58,573,-
2023-01-24,黄河,巴彦高勒,1050.66,522,-
2023-01-24,黄河,三湖河口,1017.67,479,-
2023-01-24,黄河,包头,1002.83,553,-
2023-01-24,黄河,头道拐,988.31,594,-
2023-01-24,黄河,万家寨蓄水量,973.03,(4.34)亿,-
2023-01-24,黄河,万家寨上出库,-,151,-
2023-01-24,黄河,万家寨下,898.03,151,-
2023-01-24,黄河,府谷,806.72,480,-
2023-01-24,黄河,吴堡,636.37,620,-
2023-01-24,黄河,龙门,378.29,661,-
2023-01-24,汾河,河津,371.16,42.6,-
2023-01-24,北洛河,状头,360.64,5.92,-
2023-01-24,泾河,张家山,419.69,6.87,-
2023-01-24,渭河,咸阳,372.9,28.9,-
2023-01-24,渭河,华县(二),337.87,73.5,-
2023-01-24,黄河,潼关,325.6,775,-
2023-01-24,黄河,史家滩蓄水量,318.05,(6.39)亿,-
2023-01-24,黄河,三门峡,271.09,21.2,-
2023-01-24,黄河,小浪底上蓄水量,257.54,(51.3)亿,-
2023-01-24,黄河,小浪底,134.23,615,-
2023-01-24,伊河,东湾,-,-,-
2023-01-24,伊河,陆浑坝上蓄水量,314.42,(4.75)亿,-
2023-01-24,伊河,陆浑坝上出库,-,-,-
2023-01-24,伊河,龙门镇,146.93,4.07,-
2023-01-24,洛河,卢氏,-,-,-
2023-01-24,洛河,故县水库蓄水量,529.25,(5.41)亿,-
2023-01-24,洛河,故县水库出库,-,-,-
2023-01-24,洛河,长水（二）,377.41,2.70,-
2023-01-24,洛河,白马寺,112.72,14.9,-
2023-01-24,伊洛河,黑石关,107.99,45,-
2023-01-24,丹河,山路坪,-,-,-
2023-01-24,沁河,五龙口,-,-,-
2023-01-24,沁河,武陟,98.33,9.49,-
2023-01-24,黄河,花园口,88.32,419,-
2023-01-24,黄河,夹河滩,71.1,355,-
2023-01-24,黄河,高村,57.1,315,-
2023-01-24,黄河,孙口,42.15,318,-
2023-01-24,大汶河,戴村坝,-,-,-
2023-01-24,东平湖,东平湖老湖蓄水量,41.48,(5.31)亿,-
2023-01-24,大汶河,出湖闸,-,-,-
2023-01-24,黄河,艾山,35.18,342,-
2023-01-24,黄河,泺口,23.4,309,-
2023-01-24,黄河,利津,8.3,251,-
2023-01-26,黄河,唐乃亥,2670.45,154,-
2023-01-26,黄河,龙羊峡入库,-,168,-
2023-01-26,黄河,龙羊峡蓄水量,2585.17,(185)亿,-
2023-01-26,黄河,龙羊峡出库,-,609,-
2023-01-26,黄河,刘家峡入库,-,554,-
2023-01-26,黄河,刘家峡蓄水量,1727.66,(30.6)亿,-
2023-01-26,黄河,刘家峡出库,-,427,-
2023-01-26,黄河,兰州,1510,373,-
2023-01-26,黄河,下河沿,1229.35,665,-
2023-01-26,黄河,石嘴山,1087.39,560,-
2023-01-26,黄河,巴彦高勒,1050.91,586,-
2023-01-26,黄河,三湖河口,1017.77,507,-
2023-01-26,黄河,包头,1002.68,500,-
2023-01-26,黄河,头道拐,988.16,514,-
2023-01-26,黄河,万家寨蓄水量,974.02,(4.56)亿,-
2023-01-26,黄河,万家寨上出库,-,599,-
2023-01-26,黄河,万家寨下,899.07,599,-
2023-01-26,黄河,府谷,806.72,480,-
2023-01-26,黄河,吴堡,635.66,293,-
2023-01-26,黄河,龙门,378.06,545,-
2023-01-26,汾河,河津,371.11,41.2,-
2023-01-26,北洛河,状头,360.64,5.92,-
2023-01-26,泾河,张家山,419.73,8.49,-
2023-01-26,渭河,咸阳,372.9,28.9,-
2023-01-26,渭河,华县(二),337.94,84,-
2023-01-26,黄河,潼关,325.71,866,-
2023-01-26,黄河,史家滩蓄水量,318.2,(6.56)亿,-
2023-01-26,黄河,三门峡,271.18,25.9,-
2023-01-26,黄河,小浪底上蓄水量,257.71,(51.7)亿,-
2023-01-26,黄河,小浪底,133.82,496,-
2023-01-26,伊河,东湾,-,-,-
2023-01-26,伊河,陆浑坝上蓄水量,314.47,(4.77)亿,-
2023-01-26,伊河,陆浑坝上出库,-,-,-
2023-01-26,伊河,龙门镇,146.95,4.71,-
2023-01-26,洛河,卢氏,-,-,-
2023-01-26,洛河,故县水库蓄水量,529.27,(5.41)亿,-
2023-01-26,洛河,故县水库出库,-,-,-
2023-01-26,洛河,长水（二）,377.42,2.84,-
2023-01-26,洛河,白马寺,112.62,7.47,-
2023-01-26,伊洛河,黑石关,107.85,40.6,-
2023-01-26,丹河,山路坪,-,-,-
2023-01-26,沁河,五龙口,-,-,-
2023-01-26,沁河,武陟,98.3,8.50,-
2023-01-26,黄河,花园口,88.41,464,-
2023-01-26,黄河,夹河滩,71.15,376,-
2023-01-26,黄河,高村,57.19,369,-
2023-01-26,黄河,孙口,42.18,327,-
