时间,水位,W,RWPTN,入库,出库,RSVRTP,HHRZ,HHRZTM,汛限水位,比讯限,ADDVCD站名,DRNA,FRGRD,HNNM,LGTD,LTTD,河流,站点编号,站点位置,站名,STTP,HN_NUM
2023-04-15T07:09:34.000Z,150.98,,,-,-,3,-,,158.4,-7.42,431321,,5,湘江,111.95,27.35,群力河,611H7402,邵阳市邵东市界岭乡东华村,群力水库,RR,1
2023-04-15T08:00:00.000Z,96.99,,,529.00,453.51,4,-,,,-,431103,,2,湘江,111.5919,26.43206,湘江,611K0013,永州市冷水滩区杨家桥街道,潇湘,RR,1
2023-04-15T00:00:00.000Z,165.17,23.35,4,0.50,3.00,3,-,,164.0,1.17,433122,,2,沅水,109.9767,28.225,能溪,613K0113,湘西州泸溪县洗溪镇,能滩,RR,3
2023-04-15T00:00:00.000Z,266.80,18.82,4,40.00,45.00,3,-,,266.5,0.30,430527,,2,沅水,110.0594,26.7415,巫水,613K2601,邵阳市绥宁县河口苗族乡,河口,RR,3
2023-04-15T00:00:00.000Z,465.05,9.956,6,1.20,1.20,3,-,,465.0,0.05,430802,,2,澧水,110.5496,29.04497,九斗溪,614K0001,张家界市永定区天门山镇土木溪村,土木溪,RR,4
2023-04-15T08:00:00.000Z,198.04,,,527.08,393.75,4,-,,198.0,0.04,430522,,2,资水,111.7336,27.08333,资水,612K0212,邵阳市新邵县坪上镇,筱溪,RR,2
2023-04-15T00:00:00.000Z,66.60,21.5,4,64.80,18.00,3,-,,66.6,0.00,430381,,2,湘江,112.3186,27.64531,涟水,611K2620,湘潭市湘乡市虞唐镇,洋潭,RR,1
2023-04-15T00:00:00.000Z,289.00,10.99,4,21.15,21.00,3,-,,289.0,0.00,430527,2236.0,2,沅水,110.093417,26.653139,巫水,613K2600,邵阳市绥宁县党坪苗族乡,界溪口,RR,3
2023-04-15T00:00:00.000Z,106.50,28.65,5,126.00,98.00,3,-,,106.5,0.00,431023,,2,湘江,113.124607,26.123196,耒水,611K0608,郴州市永兴县便江风景区,便江一级,RR,1
2023-04-15T00:00:00.000Z,125.00,15.6,5,73.05,58.05,3,-,,125.0,0.00,431003,12.0,2,湘江,113.093306,25.947556,耒水,611K5005,郴州市苏仙区五里牌镇,翠江,RR,1
