时间,水位,流量,WPTN,警戒水位,OBHTZ,OBHTZTM,比警戒,HIS,ADDVCD,市,ATCUNIT,BGFRYM,主流,基本站,DRNA,DSTRVM,DTMEL,基准面,DTPR,ESSTYM,FRGRD,支流,LGTD,LOCALITY,LTTD,MODITIME,PHCD,河名,STAZT,STBK,STCD,站点编号,站点位置,站名站点类型,USFL,HN_NUM
2023-04-15T08:00:00.000Z,268.91,8.1,,270.5,271.65,2007-06-06T16:00:00.000Z,-1.59,-2.74,431127,永州,水文,200401,长江,基本站,254,13.0,,黄海,,200401,1,湘江,112.183333,湖南水文,25.366667,2023-04-14T05:11:34.000Z,LS,舜水,,1,61106450,永州市蓝山县塔峰镇东村,蓝山,ZQ,1,1
2023-04-15T08:00:00.000Z,186.34,13.2,,188.05,189.77,2019-07-12T16:00:00.000Z,-1.71,-3.43,431128,永州,水文,195904,长江,基本站,390,43.0,140.05,85黄海,,195901,1,湘江,112.2,湖南水文,25.9,2023-04-14T05:11:59.000Z,XT,新田河,,0,61106500,永州市新田县龙泉镇下欧家塘村,新田,ZZ,1,1
2023-04-15T08:00:00.000Z,183.58,143,4,185.3,189.42,1961-08-26T16:00:00.000Z,-1.72,-5.84,431081,郴州,水文,,长江,基本站,4659,271.0,-52.518,冻结(黄海),,194201,1,湘江,113.258304,湖南水文,25.939258,2023-04-14T05:11:42.000Z,DJ,耒水,,0,61108100,郴州市资兴市东江街道沿江路,东江,ZQ,1,1
2023-04-15T08:00:00.000Z,207.20,-,4,209,213.37,2017-07-02T08:50:00.000Z,-1.80,-6.17,430522,邵阳,水文,201310,长江,中小河流,14646,399.0,,假定,,201401,3,资水,111.46,湖南水文,27.319972,2023-04-14T05:11:36.000Z,XS,资水,,,612E0400,邵阳市新邵县酿溪镇资江一桥下,新邵,ZZ,1,2
2023-04-15T08:00:00.000Z,603.15,965,,605,610.49,2000-06-07T16:00:00.000Z,-1.85,-7.34,522635,黔东南水文,贵州水文,195401,长江,贵州水文,2154,910.0,,黄海,,195303,1,沅水,107.8023,贵州水文,26.51783,2019-10-29T10:10:08.000Z,XSE,马尾河,180.0,1,61303300,贵州省黔东南麻江县下司镇桃花村,下司(二),ZQ,1,3
2023-04-15T08:00:00.000Z,87.12,-,6,89,90.51,2007-08-20T16:00:00.000Z,-1.88,-3.39,431028,郴州,水文,,长江,基本站,1950,52.0,,黄海,,195101,1,湘江,113.261156,湖南水文,26.703698,2023-04-14T05:12:32.000Z,AR,永乐江,,0,61111800,郴州市安仁县永乐江镇滨江南岸,安仁,ZQ,1,1
2023-04-15T08:00:00.000Z,525.07,9.32,,527,529.68,2004-07-18T16:00:00.000Z,-1.93,-4.61,522624,黔东南水文,贵州水文,196501,长江,贵州水文,788,94.0,,黄海,,196408,1,沅水,108.8476,贵州水文,26.94208,2019-10-29T10:09:59.000Z,LDQ,六洞河,180.0,1,61304000,贵州省黔东南三穗县桐林镇六洞村,六洞桥,ZQ,1,3
2023-04-15T08:00:00.000Z,68.44,-,,70.5,78.16,1954-07-24T16:00:00.000Z,-2.06,-9.72,430626,岳阳,水文,195102,长江,基本站,2850,113.0,-1.812,冻结(黄海),,195101,1,洞庭湖,113.583333,湖南水文,28.7,2023-04-14T05:11:53.000Z,PJ,汨罗江,,1,61510200,岳阳市平江县城关镇南街,平江,ZZ,1,5
2023-04-15T08:00:00.000Z,719.02,9.3,6,721.1,723,2010-06-19T16:00:00.000Z,-2.08,-3.98,431027,郴州,水文,,长江,基本站,384,424.0,,黄海,,195901,1,湘江,113.914002,湖南水文,25.980992,2023-04-14T05:12:33.000Z,ZQS,沤江,,1,61107700,郴州市桂东县寨前镇寨前街23号,寨前(三),ZQ,1,1
2023-04-15T08:00:00.000Z,208.31,1.73,6,210.5,212.68,2017-07-01T16:00:00.000Z,-2.19,-4.37,450325,桂林水文,桂林水文中心,200801,长江,,570,787.0,,85基准,,200801,2,湘江,110.67325,广西水文,25.615306,2020-03-10T08:33:24.000Z,xa,海洋河,,,61100150,广西桂林市兴安县兴安镇北街里4巷,兴安,ZQ,1,1
