日期,站名,时间,水位(m),流量(m³/s),超警戒(m),站点编号
2023-04-15,赣州,04-15 23:20,92.64,384,-6.36,62302750
2023-04-15,吉安,04-15 23:25,45.70,1740,-4.80,62301500
2023-04-15,新干,04-15 23:00,34.76,,-2.74,62301900
2023-04-15,樟树,04-15 23:00,26.55,3400,-6.45,62302000
2023-04-15,泉港（闸下）,04-15 23:00,26.52,,-5.48,62311751
2023-04-15,丰城,04-15 23:00,26.40,,-3.20,62302100
2023-04-15,高安,04-15 23:00,25.19,620,-5.81,62312250
2023-04-15,外洲,04-15 23:00,16.79,3830,-6.71,62302250
2023-04-15,南昌,04-15 23:00,16.66,,-6.34,62302300
2023-04-15,昌邑,04-15 23:00,14.62,,-5.38,62613200
2023-04-15,廖家湾,04-15 23:00,35.99,399,-5.31,62401800
2023-04-15,娄家村,04-15 23:00,33.75,292,-5.05,62406600
2023-04-15,李家渡,04-15 23:00,23.15,,-7.35,62402400
2023-04-15,上饶(三),04-15 23:00,65.08,,-0.92,62411400
2023-04-15,弋阳,04-15 23:00,37.98,514,-6.02,62412000
2023-04-15,梅港,04-15 23:00,20.78,996,-5.22,62413000
2023-04-15,渡峰坑（二）,04-15 23:00,22.43,156,-6.07,62501800
2023-04-15,虎山,04-15 23:05,20.64,449,-5.36,62505000
2023-04-15,鄱阳,04-15 23:00,15.27,,-4.23,62502600
2023-04-15,万家埠,04-15 23:00,20.52,204,-6.48,62517400
2023-04-15,虬津,04-15 23:00,17.23,401,-3.27,62513000
2023-04-15,永修,04-15 23:00,16.58,,-3.42,62513200
2023-04-15,星子,04-15 23:00,11.36,,-7.64,62601200
2023-04-15,湖口,04-15 23:00,10.75,7120,-8.75,62601600
2023-04-15,九江,04-15 23:00,11.27,14800,-8.73,60113400
2023-04-16,赣州,04-16 22:00,92.05,212,-6.95,62302750
2023-04-16,吉安,04-16 22:50,45.40,1000,-5.10,62301500
2023-04-16,新干,04-16 22:00,34.73,,-2.77,62301900
2023-04-16,樟树,04-16 22:00,26.49,3170,-6.51,62302000
