日期,站名,水位八点,库容八点,水位实时,库容实时,水位控制,库容控制,控制百分比
2023-04-18,周公宅水库,211.98,5862,212.02,5868,231.13,9570,61.3%
2023-04-18,皎口坝上,58.83,4539,58.73,4508,68.08,7808,57.7%
2023-04-18,亭下水库,67.49,3942,67.45,3930,82.65,10000,39.3%
2023-04-18,横山水库,87.64,2547,87.61,2542,109.67,7650,33.2%
2023-04-18,四明湖水库,13.49,5104,13.48,5095,16.28,7946,64.1%
2023-04-18,白溪水库,141.12,6585,141.06,6573,170.00,14500,45.3%
2023-04-18,溪下水库,32.06,180,32.09,181,55.00,2074,8.7%
2023-04-18,东钱湖水库,3.08,3338,3.08,3338,3.75,4429,75.4%
2023-04-18,横溪水库,22.99,1004,22.94,997,31.42,2516,39.6%
2023-04-18,梅溪水库,37.06,805,37.01,801,46.61,1816,44.1%
2023-04-18,三溪浦水库,28.75,1626,28.75,1626,32.62,2534,64.2%
2023-04-18,十字路水库,19.16,1236,19.16,1236,23.62,1856,66.6%
2023-04-18,新路岙水库,10.61,216,10.60,216,21.46,1077,20.0%
2023-04-18,梁辉水库,34.61,1045,34.57,1041,45.00,2476,42.0%
2023-04-18,陆埠水库,39.56,1036,39.54,1034,46.19,1830,56.5%
2023-04-18,双溪口水库,51.96,1419,51.89,1413,62.50,2525,56.0%
2023-04-18,里杜湖水库,9.88,755,9.87,754,15.71,1703,44.3%
2023-04-18,梅湖水库,12.94,530,12.91,527,20.13,1304,40.4%
2023-04-18,上林湖水库,5.93,575,5.92,573,9.92,1299,44.1%
2023-04-18,郑徐水库,2.87,3337,2.87,3337,4.50,4246,78.6%
2023-04-18,四灶浦水库,4.58,1244,4.56,1235,6.13,1921,64.3%
2023-04-18,西溪水库,126.89,3004,126.92,3008,147.00,7100,42.4%
2023-04-18,黄坛水库,76.61,964,76.45,952,78.80,1150,82.8%
2023-04-18,杨梅岭水库,22.87,622,22.61,586,24.11,833,70.4%
2023-04-18,胡陈港水库,-0.12,4953,-0.09,4980,0.55,5585,89.2%
2023-04-18,车岙港水库,3.45,645,3.46,648,4.52,1020,63.6%
2023-04-18,力洋水库,41.95,878,41.95,878,44.50,1102,79.6%
2023-04-18,仓岙水库,56.12,176,56.18,177,72.83,925,19.1%
2023-04-18,大塘港水库,0.55,2218,0.64,2276,0.85,2420,94.0%
2023-04-18,隔溪张水库,96.51,644,96.53,644,102.93,913,70.6%
2023-04-18,上张水库,27.00,786,26.98,783,35.00,1817,43.1%
2023-04-18,溪口水库,46.69,483,46.70,484,52.55,953,50.8%
2023-04-18,总计（32）,,62298,,62241,,114898,54.2%
