damel,时间,省,流域,河名,库水位(米),站点编号,站名,蓄水量(百万3),入库(米3/秒)
3023,2023-04-11 08:00:00,青海省,内陆,巴音河,3019.3,01004510,黑石山,29,0
3960,2023-04-11 08:00:00,青海省,内陆河,雪水河,3952.56,01200100,温泉,46,0
230,2023-04-11 08:00:00,,海河流域,滦河,217.52,30101101,潘家口,1791,0
138,2023-04-11 08:00:00,,海河流域,滦河,132.49,30101201,大黑汀,297,0
573,2023-04-11 08:00:00,河北省,海河,牤牛河,566.42,30102300,窟窿山水库,5,0
770,2023-04-11 08:00:00,河北省,海河,伊逊河,759.34,30102501,庙宫水库,12,0
668,2023-04-11 08:00:00,河北省,海河,瀑河,663.1,30103750,大庆水库,4,0
146,2023-04-11 14:00:00,河北省,海河,青龙河,136.62,30104403,桃林口水库,0,0
66,2023-04-11 08:00:00,河北省,海河,洋河,54.28,30200201,洋河水库,107,0
42,2023-04-11 14:00:00,河北省,海河,陡河,29.54,30201101,陡河水库(坝上),0,0
0,2023-04-11 14:00:00,天津市,海河,潮白新河,5.02,30300500,黄白桥上,0,0
0,2023-04-11 14:00:00,天津市,海河,潮白新河,0.7,30300600,宁车沽上,0,0
1041,2023-04-11 08:00:00,河北省,海河,白河,1028.88,30301200,云州水库（坝上）,26,0
602,2023-04-11 08:00:00,,海河,白河,593.42,30301400,白河堡,46,1
160,2023-04-11 08:00:00,,海河,白河,151.48,30301800,密云白河坝上,2955,6
262,2023-04-11 08:00:00,,海河,牤牛河,252.89,30302100,半城子水库,4,0
470,2023-04-11 08:00:00,,海河,安达木河,445.14,30303000,遥桥峪水库,1,0
170,2023-04-11 08:00:00,,海河,红门川,162.81,30303400,沙厂水库,12,0
68,2023-04-11 08:00:00,,海河,怀河,57.17,30303600,怀柔水库,33,2
91,2023-04-11 08:00:00,,海河,雁栖河,81.66,30304100,北台上水库,12,0
176,2023-04-11 08:00:00,,海河,沙河,170.72,30304200,大水峪水库,11,0
118,2023-04-11 08:00:00,,海河,泃河,105.49,30401400,海子水库,51,0
206,2023-04-11 08:00:00,,海河,泃河,202.0,30402100,黄松峪水库,7,0
220,2023-04-11 08:00:00,,海河,泃河,213.13,30402200,西峪水库,5,0
28,2023-04-11 14:00:00,天津市,海河,州河,19.98,30402800,于桥坝上,0,0
76,2023-04-11 14:00:00,河北省,海河,还乡河,61.84,30404500,邱庄水库(坝上),0,0
0,2023-04-11 08:00:00,天津市,海河,引滦明渠,4.47,30405306,尔王庄库,33,0
103,2023-04-11 08:00:00,,海河,温榆河,89.69,30503400,十三陵水库,18,0
0,2023-04-11 08:00:00,,海河,东沙河,542.59,30503403,十三陵水库上池,1,0
74,2023-04-11 08:00:00,,海河,温榆河,53.0,30503500,桃峪口水库,0,0
492,2023-04-11 08:00:00,,海河,永定河,476.8,30700100,官厅水库,594,0
962,2023-04-11 08:00:00,山西省,海河,桑干河,952.84,30702400,册田,87,25
470,2023-04-11 08:00:00,,海河,清水河,455.21,30707501,斋堂水库,24,0
167,2023-04-11 08:00:00,河北省,海河,中易水,152.9,30803001,安格庄水库(坝上),109,0
24,2023-04-11 08:00:00,河北省,海河,北易水,4.0,30803200,旺隆水库(坝上),0,0
50,2023-04-11 08:00:00,河北省,海河,马头沟,40.75,30803500,马头水库(坝上),2,0
72,2023-04-11 08:00:00,河北省,海河,垒子河,63.5,30803600,垒子水库,4,0
77,2023-04-11 08:00:00,,海河,刺猬河,70.54,30805100,崇青水库,7,0
0,2023-04-11 08:00:00,河北省,海河,白洋淀,8.5,30806201,十方院（白）（堰上）,367,0
