流域,站点编号,行政区,河名,站名,时间,水位(米),流量(米3/秒),警戒水位(米)
松花江,11203200,吉林省,嫩江,大赉,2023-04-15 14:00:00,125.04,0,131.74
黑龙江,10901900,吉林省,松花江,扶余,2023-04-15 14:00:00,129.51,427,133.56
艾比湖,00400050,新疆维吾尔自治区,博尔塔拉河,温泉(合成),2023-04-15 08:00:00,1320.49,7,0.0
艾比湖,00401050,新疆维吾尔自治区,精河,精河山口（三）,2023-04-15 08:00:00,614.04,4,0.0
玛纳斯湖流域,00402450,新疆维吾尔自治区,玛纳斯河,肯斯瓦特,2023-04-15 08:00:00,854.0,12,0.0
内陆河,00500900,新疆维吾尔自治区,乌鲁木齐河,英雄桥,2023-04-15 08:00:00,5.05,1,0.0
内陆河湖,00502300,新疆维吾尔自治区,开垦河,开垦河(合成),2023-04-15 14:00:00,1504.85,0,0.0
内陆河湖,00600050,新疆维吾尔自治区,阿拉沟,阿拉沟,2023-04-14 08:00:00,783.94,0,0.0
哈密、吐鲁番地区诸河,00601300,新疆维吾尔自治区,头道沟,头道沟,2023-04-15 14:00:00,1423.21,0,0.0
塔里木河,00700100,新疆维吾尔自治区,叶尔羌河,库鲁克栏干,2023-04-15 08:00:00,1920.65,41,0.0
塔里木河,00700250,新疆维吾尔自治区,叶尔羌河,卡群,2023-04-15 08:00:00,1454.89,231,0.0
塔里木河,00701350,新疆维吾尔自治区,塔里木河,阿拉尔,2023-04-15 14:00:00,1007.88,3,0.0
塔里木河,00701400,新疆维吾尔自治区,塔里木河,新渠满,2023-04-15 08:00:00,964.91,11,0.0
塔里木河,00702350,新疆维吾尔自治区,盖孜河,克勒克,2023-04-15 08:00:00,2161.86,46,0.0
塔里木河,00702470,新疆维吾尔自治区,库山河,沙曼,2023-04-15 08:00:00,1987.22,4,0.0
和田河流域,00704850,新疆维吾尔自治区,玉龙喀什河,同古孜洛克（二）,2023-04-15 08:00:00,1601.07,8,0.0
和田河流域,00705400,新疆维吾尔自治区,皮山河,皮山（二）,2023-04-15 08:00:00,2.26,16,0.0
塔里木河,00705700,新疆维吾尔自治区,开都河,大山口,2023-04-15 08:00:00,1351.84,120,0.0
塔里木河,00705850,新疆维吾尔自治区,开都河,焉耆,2023-04-15 14:00:00,1054.29,86,0.0
塔里木河,00706000,新疆维吾尔自治区,博斯腾湖,博斯腾湖,2023-04-15 14:00:00,1047.01,0,0.0
塔里木河,00706200,新疆维吾尔自治区,黄水沟,黄水沟,2023-04-15 08:00:00,1316.72,3,0.0
塔里木河,00706450,新疆维吾尔自治区,孔雀河,他什店,2023-04-15 08:00:00,1045.89,54,0.0
塔里木河,00800150,新疆维吾尔自治区,木扎提河,托克逊,2023-04-15 14:00:00,1164.22,14,0.0
塔里木河,00800600,新疆维吾尔自治区,黑孜河,黑孜,2023-04-15 08:00:00,1178.55,0,0.0
塔里木河,00800700,新疆维吾尔自治区,库车河,兰干,2023-04-15 08:00:00,1275.4,9,0.0
塔里木河,00900650,新疆维吾尔自治区,卡墙河,且末,2023-04-15 08:00:00,1240.76,11,0.0
克里雅诸小河流域,00901150,新疆维吾尔自治区,克里雅河,克里雅（二）,2023-04-15 08:00:00,1966.47,18,0.0
内陆,01004500,青海省,巴音河,德令哈(三）,2023-04-15 08:00:00,3024.55,8,0.0
内陆,01200640,青海省,格尔木河,格尔木（四）,2023-04-15 08:00:00,2936.43,30,0.0
内陆河,01400300,甘肃省,昌马河,昌马堡,2023-04-15 08:00:00,2114.39,19,2117.3
内陆河,01400500,甘肃省,疏勒河,潘家庄,2023-04-15 08:00:00,1347.14,23,1347.9
内陆河,01401200,甘肃省,党河,党城湾(二),2023-04-15 08:00:00,2176.63,13,2177.8
内陆河,01402200,,石油河,玉门市,2023-04-15 08:00:00,1992.52,0,1994.35
内陆河,01500200,青海省,黑河,札马什克,2023-04-15 08:00:00,2612.61,19,2614.25
内陆河,01500400,甘肃省,黑河,莺落峡,2023-04-15 08:00:00,1675.92,44,1678.37
内陆河,01500700,甘肃省,黑河,高崖,2023-04-15 08:00:00,1426.36,41,1427.72
内陆河,01500900,甘肃省,黑河,正义峡,2023-04-15 08:00:00,1998.19,37,2000.64
内陆河,01501400,,八宝河,祁连,2023-04-15 08:00:00,2594.27,7,2595.8
内陆河,01503000,,梨园河,肃南,2023-04-15 08:00:00,6.54,0,7.98
内陆河,01503900,甘肃省,讨赖河,嘉峪关,2023-04-15 08:00:00,1689.44,10,1692.8
内陆河,01601600,,杂木河,杂木寺,2023-04-15 08:00:00,1992.26,2,0.0
内陆河,01602600,,西营河,九条岭,2023-04-15 08:00:00,2251.14,3,2252.53
黑龙江,10700700,吉林省,松花江干流,下岱吉,2023-04-15 14:00:00,120.86,903,126.32
第二松花江,10800300,吉林省,二道白河,二道白河,2023-04-15 14:00:00,699.43,0,700.1
第二松花江,10800500,吉林省,二道松花江,汉阳屯,2023-04-15 14:00:00,445.28,121,449.5
