LGTD,LTTD,站点编号,时间,站名,zr,ymdh,dyrn,z,保证水位,dwz,河名,avq,hnnm,w,detaz,unitname,damel,iymdh,fymdh,q,警戒水位,sttp,obhtztm,frgrd,obhtz
118.581100,26.928100,71111460,2023-04-17 22,洋后水库,698.37,,,698.37,442.41,,浙闽台河流,,闽江上游区建溪,,255.96,,444.50,,,,439.50,水库,,,
118.066000,26.583000,70900950,2023-04-17 22,沙溪口水库,85.20,,,85.20,85.00,,浙闽台河流,,闽江上游区沙溪,,0.20,,93.00,,,,85.00,水库,,,
120.043238,29.131741,70109830,2023-04-17 22,柏峰水库,122.85,,,122.85,124.33,,浙闽台河流,,钱塘江流域,,0.35,,126.20,,,,122.50,水库,,,
117.617500,30.761111,60115000,2023-04-17 22,大通(二),6.81,,,6.81,17.10,,长江,,长江中下游,,,,18.95,,,21500.000,14.40,河道,1954-08-01 00:00:00,,16.640
119.383621,32.217407,60116601,2023-04-17 22,镇江（二）,3.81,,,3.81,8.85,,太湖流域,,湖西区,,,,,,,,7.50,潮位,2020-07-21 07:30:00,,8.770
120.306192,31.949744,60117000,2023-04-17 22,江阴,2.03,,,2.03,7.25,,太湖流域,,武澄锡虞区,,,,9.25,,,,5.90,潮位,1997-08-19 00:00:00,,7.220
121.271667,31.535278,60117520,2023-04-17 22,杨林,2.72,,,2.72,,,太湖流域,,长江中下游,,,,,,,,,河道,,,
118.306030,28.884972,62414650,2023-04-17 22,千家排水库,209.03,,,209.03,219.22,,浙闽台河流,,钱塘江流域,,,,221.90,,,,216.60,水库,,,
118.422960,28.762241,62414710,2023-04-17 22,岭后水库,129.40,,,129.40,,,浙闽台河流,,钱塘江流域,,,,,,,,,水库,,,
118.420830,28.687777,62414720,2023-04-17 22,苏源水库,139.44,,,139.44,,,浙闽台河流,,钱塘江流域,,,,,,,,,水库,,,
118.431710,28.675186,62414730,2023-04-17 22,龙头水库,146.04,,,146.04,,,浙闽台河流,,钱塘江流域,,,,,,,,,水库,,,
118.423333,28.607500,62414740,2023-04-17 22,青口水库,162.40,,,162.40,,,浙闽台河流,,钱塘江流域,,,,,,,,,水库,,,
121.566000,31.377000,62701710,2023-04-17 22,高桥（二）,2.75,,,2.75,5.95,,太湖流域,,浦东浦西区,,,,,,,,4.90,潮位,1997-08-18 00:00:00,,5.990
119.251098,32.066345,62702560,2023-04-17 22,仑山水库,48.16,,,48.16,,,太湖流域,,湖西区,,,,,,,,,水库,,,
